,Year Ended 12/31/20,Year Ended 12/31/19
Diluted Net Earnings Per Common Share from Continuing Operations (GAAP),$4.89,$3.26
"Pretax amortization of acquisition-related intangible assets A Pretax acquisition-related fair value adjustments to inventory and deferred revenue,",1.55,0.85
"incremental transaction costs deemed significant and integration preparation costs, in each case related to the acquisition of Cytiva B",0.77,0.13
Loss on early extinguishment of debt C,0.04,0.01
Loss on partial settlement of a defined benefit plan D Pretax impairment charges related to a facility in the Diagnostics segment in the,1,0.01
"first quarter of 2020,trade name and other intangible assets in the Environmental & Applied Solutions segment in the first quarter of 2020 and trade names in the Environmental & Applied Solutions segment in the third quarter of 2020 E",0.03,
Pretax fair value (gains) and losses on the Company's equity and limited partnership investments F,(0.02),
Gain on the sale of certain productlines in the Life Sciences segment in the second quarter of 2020 G,(0.62),
Tax effect of all adjustments reflected above H,(0.27),(0.17)
Discrete tax adjustments and other tax-related adjustments',(0.12),0.29
"Declared dividends on the MCPS assuming “if-converted"" method",0.06,0.04
Adjusted Diluted Net Earnings Per Common Share from Continuing Operations (Non-GAAP),$6.31,$4.42
