Name,Age,Position,Officer Since
Steven M. Rales,69,Chairman of the Board,1984
Mitchell P. Rales,64,Chairman of the Executive Committee,1984
Rainer M. Blair,56,President and Chief Executive Officer,2014
Matthew R. McGrew,49,Executive Vice President and Chief Financial Officer,2019
Jennifer L. Honeycutt,51,Executive Vice President,2021
Joakim Weidemanis,51,Executive Vice President,2017
Brian W. Ellis,54,Senior Vice President - General Counsel,2016
Jose-Carlos Gutierrez-Ramos,58,Senior Vice President - Chief Scientific Officer,2020
William H. King,53,Senior Vice President - Strategic Development,2005
Angela S. Lalor,55,Senior Vice President -Human Resources,2012
Robert S. Lutz,63,Senior Vice President - Chief Accounting Officer,2002
Daniel A. Raskas,54,Senior Vice President - Corporate Development,2004
