,Original Notional Amount,Outstanding,Notional Amount,Gain (Loss) Recognized in OCI
"Year ended December 31, 2020:",,,,
Net investment hedges:,,,,
Foreign currency contracts,$,"2,875 $","2,000$",(104)
Foreign currency denominated debt,,"4,573","4,573",(418)
Cash flow hedges:,,,,
Foreign currency contracts,,"4,000","4,000",(432)
Total,$,"11,448$","10,573$",(954)
"Year ended December 31, 2019:",,,,
Net investment hedges:,,,,
Foreign currency contracts,$,"1,875 $","1,000 $",24
Foreign currency denominated debt,,"6,276","6,276",130
Cash flow hedges:,,,,
Foreign currency contracts,,"4,000","4,000",(112)
Interest rate swaps,,850,,(37)
Total,$,"13,001 $","11,276$",5
