,2020,2020,2019 986$,2018 737
,$,"1,181 $",2019 986$,2018 737
"Unrecognized tax benefits, beginning of year Additions based on tax positions related to the current year",,47,71,43
Additions for tax positions of prior years,,24,197,325
Reductions for tax positions of prior years,,(20),,(22)
"Acquisitions, divestitures and other",,,(16),
Lapse of statute of limitations,,(30),7,9
Settlements,,(13),(51),(53)
,,(38),(12),(42)
"Effect of foreign currency translation Unrecognized tax benefits, end of year",$,"24 1,175$","1 1,181$",(11) 986
