($ in millions),Life Sciences,Diagnostics,EAS,Other,Total Danaher
Net Earnings from Continuing Operations (GAAP),,,,,"$3,646"
"Interest, net",,,,,204
Other Nonoperating (Income) Expense,,,,,(468)
Income Taxes,,,,,849
Operating Profit (GAAP),"$2,054","$1,538",$979,$(340),"$4,231"
Operating Profit Adjustments,509,5,17,59,590
Depreciation,183,397,47,10,637
Amortization,870,205,63,1,"1,138"
Adjusted EBITDA (Non-GAAP),"$3,616","$2,145","$1,106",$(271),"$6,596"
"Interest, net",,,,,(204)
Other Nonoperating (Income) Expense,,,,,468
Income Taxes,,,,,(849)
Operating Profit Adjustments,,,,,（590）
Depreciation,,,,,(637)
Amortization,,,,,"(1,138)"
Net Income from Continuing Operations (GAAP),,,,,"$3,646"
Net Sales,"$10,576",$7403,"$4,305",,"$22,284"
Adjusted EBITDA Margin (Non-GAAP),34.2%,29.0%,25.7%,,29.6%
