"Balance, January 1, 2019",Life Sciences,Diagnostics,Environmental & Applied Solutions,Total
"$ 13,311","$ 6,926","$ 2,344","$ 22,581",
Attributable to 2019 acquisitions,213,3,1,217
Adjustments due to finalization of purchase price allocations,(7),—,—,(7)
Foreign currency translation and other,(45),(28),(5),(78)
"Balance, December 31, 2019","13,472","6,901","2,340","22,713"
Attributable to 2020 acquisitions,"10,291",—,111,"10,402"
Attributable to 2020 divestitures,(181),—,—,(181)
Adjustments due to finalization of purchase price allocations,(3),—,—,(3)
Foreign currency translation and other,"2,233",181,75,"2,489"
"Balance, December 31, 2020","$ 25,812","$ 7,082","$ 2,526","$ 35,420"
