,Percentage of Pretax Earnings,Percentage of Pretax Earnings,Percentage of Pretax Earnings
,2020,2019,2018
Statutory federal income tax rate,21.0 %,21.0 %,21.0 %
Increase (decrease) in tax rate resulting from:,,,
State income taxes (net of federal income tax benefit),1.1 %,0.8 %,0.9 %
Foreign rate differential,(1.6)%,(1.4)%,(0.9)%
Resolution and expiration of statutes of limitation of uncertain tax positions,(0.7)%,(2.1)%,(1.7)%
"Research credits, uncertain tax positions and other",0.7%,9.3%,0.3%
Excess tax benefits from stock-based compensation,(1.6)%,(1.2)%,(1.0)%
TCJA - revaluation of U.S. deferred income taxes,%,1%,(1.6)%
TCJA - Transition Tax,1%,一%,1.8 %
Effective income tax rate,18.9%,26.4%,18.8%
