,U.S.Pension Benefits,U.S.Pension Benefits,Non-U.S.Pension Benefits,Non-U.S.Pension Benefits
,2020,2019,2020,2019
Change in pension benefit obligation:,,,,
Benefit obligation at beginning of year $,"(2,468) $","(2,340）$","(1,446)$","(1,315)"
Service cost,,(6),(40),(25)
Interest cost,(69),(89),(22),(24)
Employee contributions,,,(6),(5)
Benefits and other expenses paid,165,164,59,48
Acquisitions and other,(96),,(436),
Actuarial loss,(273),(237),(106),(152)
"Amendments, settlements and curtailments",23,40,4,47
Foreign exchange rate impact,,,(168),(20)
Benefit obligation at end of year,"(2,718)","(2,468)","(2,161)","(1,446)"
Change in plan assets:,,,,
Fair value of plan assets at beginning of year,"1,866","1,778","1,138","1,032"
Actual return on plan assets,227,283,104,115
Employer contributions,140,10,51,44
Employee contributions,,,6,5
Amendments and settlements,(22),(41),(7),(37)
Benefits and other expenses paid,(165),(164),(59),(48)
Acquisitions and other,79,,30,
Foreign exchange rate impact,丨,,68,27
Fair value of plan assets at end of year,"2,125","1,866","1,331","1,138"
Funded status,$ (593)S,(602）,$ (830）s,(308)
