Year Ended December 31,2020,2019,2018,Sales:,United States
,,$8,616,$6,"660,$6,134"
,China,2,688,2,"308,2,170"
,Germany,1,238,1,"013,1,082"
,All other (each country individually less than 5% of total sales),9,742,7,"930,7,663"
,Total,22,284,17,"911,17,049"
,Property, plant and equipment, net:,United States,
,,$1,317,$1,"077,$1,081"
,Sweden,553,32,32,
,United Kingdom,214,163,157,
,Germany,207,163,169,
,All other (each country individually less than 5% of total property, plant and equipment, net),971,"867,811"
,Total,3,262,2,"302,2,250"
