,"Outstanding Balance as of December 31, 2020",Stated Annual Interest Rate,Issue Price (as%of,Issue Price (as%of,Issue Price (as%of,Issue Price (as%of,Issue Price (as%of
,"Outstanding Balance as of December 31, 2020",Stated Annual Interest Rate,Principal Amount),,Issue Date,Maturity Date,Interest Payment Dates (in arrears)
2021 LYONs,$ 24,see below,,N/A,"January 22, 2001","January 22, 2021",January 22 and July 22 March 16 and
2021 Yen Notes (4),290,0.352 % three-month,100%,,"February 28,2016","March 16, 2021","September 16 March 30, June 30,"
Floating Rate 2022 Euronotes ae,305,EURIBOR +,0.3% 100.147 %,,"June 30, 2017","June 30, 2022",September 30 and December 31
2022 Biopharma Notes (8),698,2.05%,99.994 %,,"November 7,2019","November 15, 2022",May 15 and November 15
2023 CHF Bonds (2),611,0.5 %,100.924 %,,"December 8, 2015","December 8, 2023",December 8
2024 Euronotes,913,1.7 %,99.931 %,,"March 30,2020","March 30, 2024",March 30
2024 Euronotes,183,1.7 %,100.298 %,,"April 8, 2020","March 30,2024",March 30
2024 Biopharma Notes (8),697,,2.2%,99.952 %,"November 7,2019","November 15,2024",May 15 and November 15
2025 Euronotes (,975,2.5 %,,99.878 %,"July 8, 2015","July 8, 2025",July 8
2025 U.S. Notes (),498,3.35 %,99.857 %,,"September 15,2015September 15,2025",,March 15 and September 15
2026 Biopharma Euronotes (),"1,520",0.2 %,99.833 %,,"September 18, 2019","March 18, 2026",March 18
2026 Euronotes,607,2.1%,99.717 %,,"March 30,2020September 30,2026",,September 30
2026 Euronotes,368,2.1 %,100.842 %,,"April 8, 2020","September 30,2026",September 30
2027 Yen Notes (),297,0.3%,,100%,"May 11, 2017","May 11, 2027",May 1l and November 11
2027 Euronotes () 2028 Biopharma,729,1.2 %,,99.682 %,"June 30, 2017","June 30, 2027",June 30
Euronotes,"1,518",0.45%,99.751 %,,"September 18,2019","March 18,2028",March 18
2028 CHF Bonds(2),241,1.125 %,102.870 %,,"December 8, 2015 and December 8,2017","December 8, 2028",December 8
2029 Biopharma Notes (8) 2030 Euronotes,795,2.6%,99.903 %,,"November 7,2019","November 15,2029",May 15 and November 15
2030 Euronotes,606,2.5 % 2.5 %,99.642 %,,"March 30, 2020","March 30, 2030",March 30
2031 Biopharma,372,,102.166 %,,"April 8,2020","March 30,2030",March 30
Euronotes,"2,127",0.75 %,99.920 %,,"September 18,2019 September 18,2031",,September 18
2032 Yen Notes (6),514,0.65%,,100%,"May 11, 2017","May 11, 2032",May 11 and November 11
2039 Biopharma Euronotes,"1,511",1.35 %,99.461 %,,"September 18,2019 September 18,2039",,September 18
2039 Biopharma Notes (8),889,3.25 %,99.809 %,,,"November 7,2019November15,2039",May 15 and November 15
2045 U.S. Notes (3),499,4.375 %,99.784 %,,,"September 15,2015September 15,2045",March 15 and September 15
2049 Biopharma Euronotes (,907,,,,,,
2049 Biopharma Notes (8),,,1.8 %,99.564 %,"September 18,2019September 18,2049",,September 18 May 15 and November
2050 U.S. Notes,889 979,,3.4 % 2.6%,99.756 % 98.970 %,"November 7,2019November15,2049 October 6,2020","October 1,2050",15 April 1 and October 1
Euro-denominated,,,,,,,
commercial paper,611,various,,various,various,various,various
Other,31,various,,various,various,various,various
Total debt $,"21,204",,,,,,
