Quoted Prices in Active Market (Level 1),Significant Other Observable Inputs (Level 2),Significant Unobservable Inputs (Level 3),,,,Total
Cash and equivalents,$,175 $,,,,$175
Equity securities:,,,,,,
Common stock,,,,,503,503
Preferred stock,,,,,6,6
Fixed income securities:,,,,,,
Corporate bonds,,,42,,42,42
Government issued,,,58,,58,58
Mutual funds,,244,51,,295,295
Insurance contracts,,,354,,354,354
Total,$,928$,505$,,,"""1,433"""
Investments measured at NAV (a):,,,,,,
Common/collective trusts,,,,,,"""1,198"""
"Venture capital, partnerships and other private investments",,,,,825,825
Total assets at fair value,,,,,$,"""3,456"""
