Year Ended,December 31,Quoted Prices in Active Market (Level 1),Significant Other Observable Inputs (Level 2),Significant Unobservable Inputs (Level 3)
2020,Assets:,,-,"27,-"
2020,Available-for-sale debt securities,$27,$,"-,27,-"
2020,Investment in equity securities,176,6,"-,-,-"
2020,Liabilities:,,-,"622,-"
2020,Cross-currency swap derivative contracts,622,-,"622,-"
2020,Deferred compensation plans,111,-,"111,-"
2019,Assets:,,-,"34,-"
2019,Available-for-sale debt securities,$34,$,"-,34,-"
2019,Investment in equity securities,111,-,"-,-"
2019,Cross-currency swap derivative contracts,26,-,"26,-"
2019,Liabilities:,,-,"112,-"
2019,Cross-currency swap derivative contracts,112,-,"112,-"
2019,Deferred compensation plans,70,-,"70,-"
