DKK million,2020,2019,2018
Current tax on profit for the year,"11,557","11,275","10,469"
Deferred tax on profit for the year,"1,105","(1,559)","(1,007)"
Tax on profit for the year Current tax adjustments,"12,662","9,716","9,462"
recognised for prior years,(563),(191),(522)
Deferred tax adjustments recognised for prior years,"(1,107)",77,47
Income taxes in the income statement,"10,992","9,602","8,987"
"Tax on other comprehensive income for the year, (income)/expense",577,231,(755)
Computation of effective tax rate DKK million,2020,2019,2018
Statutory corporate income tax rate in Denmark Deviation in foreign subsidiaries',22.0%,22.0%,22.0%
tax rates compared to the Danish tax rate (net),(2.5%),(2.1%),(1.9%)
Non-taxable income less non-tax- deductible expenses (net),(0.2%),0.1%,(0.2%)
Other adjustments (net),1.4%,(0.2%),(1.0%)
Effective tax rate,20.7%,19.8%,18.9%
