DKK million,2020,2019,2018
Inventories,(895),"(1,305)",(963)
Trade receivables,"(2,822)","(2,126)","(2,621)"
Other receivables and prepayments,(419),"(1,190)",(662)
Trade payables,(641),(398),"1,146"
Other liabilities,"1,274","1,202",(348)
Adjustment for payables related to non-current assets,879,295,84
Adjustment related to divestment of Group companies,,(42),
Change in working capital including exchange rate adjustments,"(2,624)",,
Exchange rate adjustments,"(1,729)","(3,564) 176","(3,364) (6)"
Cash flow change in working capital,"(4,353)","(3,388)","(3,370)"
