DKK million,2020,2019,2018
Novo Holdings A/S,,,
Purchase of Novo Nordisk B shares Sale of NNIT B shares,"5,963","4,894","4,207 (368)"
Dividend payment to Novo Holdings A/S,"5,767","5,580","5,496"
NNIT Group,,,
Services provided by NNIT,775,941,"1,052"
Dividend payment from NNIT,(18),(20),(19)
Novozymes Group,,,
Services provided by Novo Nordisk,(113),(132),(115)
Services provided by Novozymes,72,103,121
CS Solar Fund XIV,,,
Purchase of shares by Novo Nordisk,,97,
Liability for capital commitment1,,389,
Distribution by CS Solar Fund XIV,,(385),
