Contractual undiscounted cashflows,,,,,,2019
,,,Bank,,Bank,
DKK million,Leases,Loans,overdrafts1,Total,Leases overdrafts1,Total
Within 1 year,855,"5,577","1,107","7,539",847,"1,506"
1-3 years,"1,247",,,"1,247","1,424","1,424"
3-5 years,694,,,694,734,734
More than 5 years Total contractual undiscounted cash flows,"1,241",,,"1,241","1,140","1,140"
at the end of the year Contractual discounted cash flows included,"4,037","5,577","1,107","10,721","4,145 659","4,804"
in the balance sheet at the end of the year,"3,672","5,577","1,107","10,356","3,824","4,483"
Non-current liabilities,2.897,1,1,2.897,"3,009","3,009"
Current liabilities,775,"5,577","1,107","7,459",815,"1,474"
