Total tax contribution,DKK million,Taxes borne,Taxes collected,2020,2019,2018
Corporate income taxes paid,10106,"3471,13577",,"10,106","3,471","13,577"
Corporate income taxes paid,14392,13006,,"14,392",,"13,006"
Corporate income taxes paid,13006,,,,,
Employment taxes,1549,"8039,9588",,"1,549","8,039","9,588"
Employment taxes,9638,9427,,"9,638","9,427",
Employment taxes,9427,,,,,
Indirect taxes,1307,"1190,2497",,"1,307","1,190","2,497"
Indirect taxes,2610,2257,,"2,610","2,257",
Indirect taxes,2257,,,,,
Other taxes,714,"887,1135",,714,,714
Other taxes,887,1135,,887,"1,135",
Other taxes,1135,,,,,
Total,13676,"12700,26376",,"13,676","12,700","26,376"
Total,27527,25825,,"27,527","25,825",
