DKK million,Patents and licences,Software and other intangibles,Total intangible assets,Land and buildingsmachinery equipment construction equipment,Plant and,Other,Assets under,"Property, plant and",
DKK million,Patents and licences,Software and other intangibles,Total intangible assets,Land and buildingsmachinery equipment construction equipment,Plant and,Other,Assets under,"Property, plant and",
2020,,,,,,,,,
Cost at the beginning of the year,"7,270","2,560","9,830","30,260","27,594","6,215","20,351","84,420",
Additions during the year,"15,906",396,"16,302",741,506,490,"4,560","6,297",
Disposals during the year,(698),,(698),(119),(583),(122),(16),(840),
Transfer and reclassifications,,,,"7,440","4,586",515,"(12,541)",,
Effect of exchange rate adjustment,(74),(20）,(94),(813),(600）,(222),"(1,556)","(3,191)",
Cost at the end of the year,"22,404","2,936","25,340","37,509","31,503","6,876","10,798","86,686",
Amortisation/depreciation and impairment losses at the beginning of the year,"2,643","1,352","3,995","11,528","18,888","3,453",,"33,869",
Amortisation/depreciation for the year,889,207,"1,096","1,859","1,500",821,,"4,180",
Impairment losses for the year,350,,350,14,69,28,16,127,
Amortisation/depreciation and impairment losses reversed on disposals during the year,,,,,,,,,
Effect of exchange rate adjustment,(698) (49),(11),(698) (60),(119) (346),(581) (432),(115) (150),(16),(831),
Amortisation/depreciation and impairment losses at the,,,,,,,,(928),
end of the year Carrying amount at the end of the year,"3,135 19,269","1,548 1,388","4,683 20,657","12,936 24,573","19,444 12,059","4,037 2,839","10,798","36,417",
2019,,,,,,,,"50,269",
Cost at the beginning of the year,"5,247","2,412","7,659","25,401","25,412","4,779","16,846","72,438",
"Change in accounting policy, leases",,1,一,"3,291",,487,,,
Additions during the year,"1,958",221,"2,179",555,350,498,"7,580","3,778",
Disposals during the year,,(79),(79）),(407),(504),(244),,"8,983",
Transfer and reclasfications,,,,,,,(74),"(1,229)",
Effect of exchange rate adjustment,65,1 6,71,"1,277","2,248",665,"(4,190)",1,
Cost at the end of the year,"7,270","2,560",,143,88,30,189,450,
Amortisation/depreciation and impairment losses at the,,,"9,830","30,260","27,594","6,215","20,351","84,420",
beginning of the year,"1,390","1,124","2,514","9,770","17,871","2,906",,"30,547",
Amortisation/depreciation for the year,312,175,487,"1,818","1,410",743,,"3,971",
Impairment losses for the year,914,68,982,57,70,20,74,221,
Amortisation/depreciation and impairment losses reversed on disposals during the year,,(18),(18),(160),(504),(229),(74),,
Effect of exchange rate adjustment,27,3,30,43,41,13,,(967) 97,
Amortisation and impairment losses at the end of the year,"2,643","1,352","3,995","11,528","18,888","3,453",,"33,869",
Carrying amount at the end of the year,"4,627","1,208","5,835","18,732","8,706","2,762","20,351","50,551",
