DKK million,2020,2019,2018
Cash and cash equivalents,Cash at bank (note 4.2),"12,757","15,475"
Borrowings¹,,(531),(64)
Cash and cash equivalents,,"12,226","15,411"
Financial reserves,,,
Cash and cash equivalents,,"12,226","15,411"
Undrawn committed credit facility²,"11,531","11,578","11,574"
Undrawn bridge facility³,"5,577",,
"Borrowings¹,³",(576),(595),(506)
Financial reserves,,"28,758","26,394"
Free cash flow,Net cash generated from operating activities,"51,951","46,782"
Net cash used in investing activities,"-22,436","-11,509","-12,080"
Repayment on lease liabilities,,(950),(822)
Free cash flow,"28,565","34,451","32,536"
