DKK million,2020,2019,2018
Current tax on profit for the year,11557.0,11275.0,10469.0
Deferred tax on profit for the year,1105.0,-1559.0,-1007.0
Tax on profit for the year,12662.0,9716.0,9462.0
Current tax adjustments recognised for prior years,-563.0,-191.0,-522.0
Deferred tax adjustments recognised for prior years,-1107.0,77.0,47.0
Income taxes in the income statement,10992.0,9602.0,8987.0
"Tax on other comprehensive income for the year, (income)/expense",577.0,231.0,-755.0
Statutory corporate income tax rate in Denmark,22.0%,22.0%,22.0%
Deviation in foreign subsidiaries' tax rates compared to the Danish tax rate (net),-2.5%,21.0%,19.0%
Non-taxable income less non-tax-deductible expenses (net),-0.2%,0.1%,-0.2%
Other adjustments (net),1.4%,-0.2%,10.0%
Effective tax rate,20.7%,19.8%,18.9%
