DKK million,Gross carrying amount,Loss allowance,Net carrying amount
2020,Not yet due,"27,511","(805),26,706"
2020,1-90 days,"1,000","(112),888"
2020,91-180 days,188,"(63),125"
2020,181-270 days,44,"(29),15"
2020,271-360 days,51,"(51),—"
2020,More than 360 days past due,320,"(320),—"
2020,Trade receivables,"29,114","(1,380),27,734"
2020,EMEA,"6,306","(781),5,525"
2020,China,"2,137","—,2,137"
2020,Rest of World,"3,003","(580),2,423"
2020,North America Operations,"17,668","(19),17,649"
2020,Trade receivables,"29,114","(1,380),27,734"
2019,Not yet due,"24,359","(763),23,596"
2019,1-90 days,"1,204","(127),1,077"
2019,91-180 days,261,"(69),192"
2019,181-270 days,96,"(49),47"
2019,271-360 days,79,"(79),—"
2019,More than 360 days past due,397,"(397),—"
2019,Trade receivables,"26,396","(1,484),24,912"
2019,EMEA,"7,104","(903),6,201"
2019,China,"1,760","—,1,760"
2019,Rest of World,"3,084","(568),2,516"
2019,North America Operations,"14,448","(13),14,435"
2019,Trade receivables,"26,396","(1,484),24,912"
