DKK million,Note,2020,2019
Equity and liabilities,,,
Share capital,,470,480
Net revaluation reserve according to the equity method,,"9,749","15,340"
Development costs reserve,,959,811
Reserve for cash flow hedge,,"1,617",(323)
Retained earnings,,"50,241","41,124"
Total equity,,"63,036","57,432"
Borrowings,,596,715
Deferred income tax liabilities,10,523,
Other provisions,5,,
,11,"1,348",995
Total non-current liabilities,,"2,467 6,275","1,710"
Borrowings Derivative financial instruments,10 9,"1,365",165 734
Trade payables,,,"2,673"
,,"2,910",
Amounts owed to affiliated companies,,"40,931","40,754"
Tax payables,,"3,114",74
Other liabilities,,"6,262","5,407"
Total current liabilities,11,"60,857","49,807"
Total liabilities,,"63,324","51,517"
Total equity and liabilities,,"126,360","108,949"
