DKK million,2020,2019,2018
Cash and cash equivalents Cash at bank (note 4.2),"12,757","15,475","15,638"
Borrowings1 Cash and cash equivalents,"(531) 12,226","(64) 15,411","(9) 15,629"
Financial reserves,,,
Cash and cash equivalents Undrawn committed credit facility²,"12,226 11,531","15,411 11,578","15,629 11,574"
Undrawn bridge facility3,"5,577",1,1
"Borrowings1,3",(576),(595),(506)
Financial reserves4,"28,758","26,394","26,697"
Free cash flow DKK million,2020,2019,
Net cash generated from operating activities,"51,951","46,782","2018 44,616"
Net cash used in investing activities,"(22,436)","(11,509)","(12,080)"
Repayment on lease liabilities,,,
,(950),(822),
Free cash flow4,"28,565","34,451","32,536"
