DKK million,Note,2020,2019,2018
Purchase of treasury shares,4.1,"-16,855","-15,334","-15,567"
Dividends paid,4.1,"-20,121","-19,409","-19,048"
Repayment of borrowings,4.4,-950,-822,-
Proceeds from borrowings,4.4,"5,682",81,94
Net cash used in financing activities,,"-32,244","-35,484","-34,521"
Net cash generated from activities,,"-2,729",-211,"-1,985"
Cash and cash equivalents at the beginning of the year,4.5,"15,411","15,629","17,158"
Reclassification of bank overdraft to financing activities,,-,-,412
Exchange gains/(losses) on cash and cash equivalents,,-456,-7,44
Cash and cash equivalents at the end of the year,4.5,"12,226","15,411","15,629"
