Project,Indication,Description,Phase
Semaglutide 2.0 mg NN9535,Type 2 diabetes,A long-acting GLP-1 analogue for once-weekly treatment.,"A,B,C,D"
Oral semaglutide HD NN9924,Type 2 diabetes,"A long-acting oral GLP-1 analogue, 25 and 50 mg, intended for once-daily oral treatment.","A,B,C,D"
Icodec NN1436,Type 1 and 2 diabetes,A long-acting basal insulin analogue intended for once-weekly treatment.,"A,B,C,D"
Insulin 965 NN1965,Type 1 and 2 diabetes,A novel basal insulin analogue intended for once-daily treatment.,"A,B,C,D"
Icosema NN1535,Type 2 diabetes,A combination of GLP-1 analogue semaglutide and insulin icodec intended for once-weekly treatment.,"A,B,C,D"
FDC Sema - OW GIP NN9389,Type 2 diabetes,A combination of semaglutide and novel GIP intended for once-weekly treatment.,"A,B,C,D"
Glucose-sensitive insulin NN1845,Type 1 and 2 diabetes,A glucose-sensitive insulin analogue intended for once-daily treatment.,"A,B,C,D"
Ideal Pump Insulin NN1471,Type 1 diabetes,A novel insulin analogue ideal for use in a closed loop pump device as delivery.,"A,B,C,D"
DNA Immunotherapy NN9041,Type 1 diabetes,A novel plasmid encoding pre- and pro-insulin intended for preservation of beta cell function.,"A,B,C,D"
Obesity care,Semaglutide 2.4 mg NN9536,Obesity,"A long-acting GLP-1 analogue intended for once-weekly treatment.,A,B,C,D"
Obesity,AM833 NN9838,Obesity,"A novel long-acting amylin analogue intended for once-weekly treatment.,A,B,C,D"
Obesity,AM833 + semaglutide NN9838,Obesity,"A combination of amylin analogue and GLP-1 analogue semaglutide intended for once-weekly treatment.,A,B,C,D"
Obesity,LA-GDF15 NN9215,Obesity,"A long-acting GDF15 analogue intended for appetite regulation leading to weight loss.,A,B,C,D"
Obesity,PYY1875 NN9775,Obesity,"A novel analogue of the appetite-regulating hormone, PYY, intended for once-weekly treatment.,A,B,C,D"
