Reconciliation of liabilities arising from financing activities,Non-cash movements,End of the year
DKK million,Beginning of the year,
2020,,
Lease liabilities,"3,824",(950)
Loans,,"5,582"
Bank overdrafts¹,595,100
Liabilities arising from financing activities,"4,419","4,732"
Bank overdrafts¹,64,467
Total borrowings,"4,483","5,199"
2019,,
Lease liabilities,"3,988",(822)
Bank overdrafts¹,506,81
Liabilities arising from financing activities,"4,494",(741)
Bank overdrafts¹,9,55
Total borrowings,"4,503",(686)
