Key responsibilities,Chairmanship,Audit Committee,Nomination Committee,Remuneration Committee,Research & Development Committee
Assists the Board of Directors with:,Planning of Board meetings,The external auditors,The competence profile and composition of the Board,The Remuneration Policy,The research and development strategy
,Employment, incentive remuneration and performance evaluation of Executive Management,The internal audit function,Nomination of Board members and Board committee members,"The actual remuneration of Board members,Board committees and Executive Management"
,Represents the Board externally,Handling complaints reported through the Compliance Hotline,Annual evaluation of the Board,Corporate governance of the company,
,,-Financial, social and environmental reporting (ESG reporting),,-The pipeline
,,-Internal controls over financial and ESG reporting,-The R&D organisation,,
,,-Business ethics compliance,-IT security and insurance coverage,,
Members (appointed by the Board),Consists of the chair and the vice chair,both of whom are elected directly by the shareholders at the general meetings.,Liz Hewitt (chair),Helge Lund (chair),Jeppe Christiansen (chair)
,,-Laurence Debroux,-Sylvie Grégoire,-Brian Daniels,"-Sylvie Grégoire,-Martin Mackay (chair)"
,,-Andreas Fibig,-Kasim Kutay,-Anne Marie Kverneland,-Brian Daniels
,,-Stig Strøbæk,-Mette Bøjer Jensen,-Kasim Kutay,-Thomas Rantzau
For independence and competencies see table on page 44.,At the Annual General Meeting in 2020, Helge Lund was re-elected as chair and Jeppe Christiansen was re-elected as vice chair of the Board.,,-,
2020 key activities,In 2020, the Chairmanship focussed particularly on strategy execution within the therapy areas and in different markets, digitalisation, partnering and acquisitions to access external innovation,"talent and leadership development as well as succession preparedness,core capabilities and development of the company culture and impact of the COVID-19 pandemic.,In 2020,the Audit Committee focused on work performed by internal and external auditors and held focus sessions on risks and internal controls. The Audit Committee also discussed key accounting matters,including provisions for sales rebates,indirect production costs,ongoing tax and legal cases and impairment. The Audit Committee also reviewed Information Security,Business Ethics Compliance and Compliance Hotline cases. Finally,the Audit Committee recommended Deloitte to be elected as external auditor in 2021.,In 2020,the Nomination Committee focused particularly on reviewing the composition of the Board,identifying and interviewing candidates and considering long-term succession planning. It also reviewed the desired competences to be represented on the Board.,In 2020,the Remuneration Committee focused particularly on executive remuneration in light of the COVID-19 pandemic,on assessing the design and structure of the short-term as well as the long-term incentive programme for the Executive Management in 2021 and on enhancing the transparency in remuneration reporting even further.,In 2020,the Research & Development Committee focused particularly on reviewing the results of clinical trials and discussed potential additional research and development activities to further explore opportunities within subcutaneous and oral GLP-1 as well as competitor initiatives. In addition,the committee discussed the potential opportunities for addressing unmet needs in mild cognitive impairment and mild dementia. It also reviewed potential external research collaborations as well as acquisitions."
