DKK million,2020,2019
Derivative financial instruments (note 4.3),"1,365",734
Financial liabilities measured at fair value through the income statement,"1,365",734
Borrowings (non-current),"2,897","3,009"
Borrowings (current),"7,459","1,474"
Trade payables,"5,717","6,358"
Other liabilities,"17,005","15,085"
- less VAT and duties payable,(598),(478)
Financial liabilities measured at amortised cost,"32,480","25,448"
Total financial liabilities at the end of the year by category,"33,845","26,182"
