DKK million,2020,2019
Other financial assets1,766,970
Derivative financial instruments (note 4.3),"2,332",188
Financial assets at fair value through the income statement,"3,098","1,158"
Other financial assets1,300,364
Trade receivables Other receivables and prepayments (current,"11,643","12,203"
and non-current),"4,835","4,275"
- less prepayments and VAT receivables,"(4,113)","(3,899)"
Cash at bank (note 4.5),"12,757","15,475"
Financial assetsat amortised cost,"25,422",
Trade receivables in a factoring portfolio²,,"28,418"
,"16,091","12,709"
Financial assets at fair value through OCI,"16,091","12,709"
Total financial assets at the end of the year by category1,"44,611","42,285"
