DKK million,Exchange rate ad- justments,Cash flow hedges,Tax and other items,Total
Reserve at,,,,
1 January 2018 Other comprehensive,"(1,556)","2,027",(32),439
"income, net for 2018 Reserve at",491,"(3,704)",728,"(2,485)"
31 December 2018 Other comprehensive,"(1,065)","(1,677)",696,"(2,046)"
"income,net for 2019 Reserve at",226,"1,348",(222),"1,352"
31 December 2019,(839),(329),474,(694)
"Other comprehensive income,net for 2020 Transfer of cash flow","(1,689)","1,713",(567),(543)
hedge reserve to,,,,
intangible assets1,,418,(92),326
Reserve at,,,,
31 December 2020,"(2,528)","1,802",(185),(911)
