Company and country,Percentage of shares owned,Activity
"Novo Nordisk Production SAS, France",100,
"Novo Nordisk Pharma GmbH, Germany",100,
"Novo Nordisk Hellas Epe., Greece",100,
"Novo Nordisk Hungária Kft., Hungary",100,
"Novo Nordisk Biopharm Limited, Ireland",100,
"Novo Nordisk Limited, Ireland",100,
"Novo Nordisk Ltd, Israel",100,
"Novo Nordisk S.P.A., Italy",100,
"Novo Nordisk Kazakhstan LLP, Kazakhstan",100,
"Novo Nordisk Kenya Ltd., Kenya",100,
"Novo Nordisk Pharma SARL, Lebanon",100,
"UAB Novo Nordisk Pharma, Lithuania",100,
"Novo Nordisk Farma dooel, North Macedonia",100,
"Novo Nordisk Pharma SAS, Morocco",100,
"Novo Nordisk B.V., Netherlands",100,
"Novo Nordisk Pharma Limited, Nigeria",100,
"Novo Nordisk Norway AS, Norway",100,
"Novo Nordisk Pharmaceutical Services Sp. z o.o., Poland",100,
"Novo Nordisk Pharma Sp.z.o.o., Poland",100,
"Novo Nordisk Comércio Produtos Farmacêuticos Lda., Portugal",100,
"Novo Nordisk Farma S.R.L., Romania",100,
"Novo Nordisk Limited Liability Company, Russia",100,
"Novo Nordisk Production Support LLC, Russia",100,
"Novo Nordisk Pharma d.o.o. Belgrade (Serbia), Serbia",100,
"Novo Nordisk Slovakia s.r.o., Slovakia",100,
"Novo Nordisk, d.o.o., Slovenia",100,
"Novo Nordisk (Pty) Limited, South Africa",100,
"Novo Nordisk Pharma S.A., Spain",100,
"Novo Nordisk Scandinavia AB, Sweden",100,
"Novo Nordisk Health Care AG, Switzerland",100,
"Novo Nordisk Pharma AG, Switzerland",100,
"Novo Nordisk Tunisie SARL, Tunisia",100,
"Novo Nordisk Saglik Ürünleri Tic. Ltd. Sti., Turkey",100,
"Novo Nordisk Ukraine, LLC, Ukraine",100,
"Novo Nordisk Pharma Gulf FZ-LLC, United Arab Emirates",100,
"Novo Nordisk Holding Limited, United Kingdom",100,
"Novo Nordisk Limited, United Kingdom",100,
"Zylo Limited, United Kingdom",100,
