DKK million,Note,2020,2019,2018
Statement of comprehensive income,,,"38,951",
Net profit,,"42,138",,"38,628"
Other comprehensive income: Items that willnot be reclassified subsequently to the income statement:,,,,
Remeasurements of retirement benefit obligations,3.5,(67),(187),87
Items that will be reclassified subsequently to the income statement:,,,,
Exchange rate adjustments of investments in subsidiaries,,"(1,689)",226,491
Cash flow hedges:,,,,
Realisation of previously deferred (gains)/losses,"4.1,4.3",329,"1,677","(2,027)"
Deferred gains/(losses) incurred during the period,"4.1,4.3","1,384",(329),"(1,677)"
Other items,,10,9,(27)
"Tax on other comprehensive income, income/(expense)",2.6,(577),(231),755
"Other comprehensive income, net of tax",,(610),"1,165","(2,398)"
Total comprehensive income,,"41,528","40,116","36,230"
