Name (male/female),First elected,Term,Nationality,Born,Independence2,Board of Directors,Chairmanship,Audit Committeea,Nomination Committee,Remuneration Committee,R&D Committee,Competencies
Helge Lund (m),20173,2021,Norwegian,Oct. 1962,Independent,,,,,,,
Jepp Christiansen (m),2013,2021,Danish,Nov. 1959,Not independent 4,,,,,,,
Laurence Debroux (f),2019,2021,French,Jul. 1969,Independent 5,,,,,,,
Brian Daniels (m),2016,2021,American,Feb. 1959,Independent,,,,,,,
Andreas Fibig (m),2018,2021,German,Feb. 1962,"Independent 5, 6",,,,,,,
Sylvie Grégoire (f),2015,2021,Canadian/American,Nov. 1961,"Independent 5, 6, 9",,,,,,,
Liz Hewitt (f),2012,2021,British,Nov. 1956,"Independent 5, 6, 9",,,,,,,
Mette Bojer Jensen (f),2018,2022,Danish,Dec. 1975,Not independent 7,,,,,,,
Kasim Kutay (m),2017,2021,British,May 1965,Not independent 4,,,,,,,
Anne Marie Kverneland (f),2000,2022,Danish,Jul. 1956,Not independent 7,,,,,,,
Martin Mackay (m),2018,2021,American,Apr. 1956,Independent,,,,,,,
Thomas Rantzaus (m),2018,2022,Danish,Mar. 1972,Not independent 7,,,,,,,
Stig Strøbaek (m),1998,2022,Danish,Jan. 1964,"Not independent 5, 7",,,,,,,
