Key marketed products in main markets (active ingredients) Us China Japan Germany
Human insulin Expired Expired Expired Expired
NovoRapid@ (NovoLog@) Expired Expired Expired Expired
NovoMix30(NovoLog? Mix 70/30) Expired Expired Expired Expired
NovoNorm@ (Prandin@) Expired Expired Expired Expired
Levemir Expired Expired Expired Expired
victoza 2023 Expired 2022 2023
Tresiba 2029 2024 2027 2028
Ryzodeg 2029 2024 20242 2028
xultophye 2029 2024 20242 2028
Fiasp (2030）² (2030） (2030） (2030）2
Ozempic 20321 2026 20311 2031
Rybelsus 203217 20267 203117 2031
Obesity:
Saxenda 2023 Expired Expired 2023
Biopharm:
Norditropin (NorditropinSimplexx) Expired Expired Expired Expired
Sogroya 20341 2031 20361 20351
MacrilenT7 20278 N/A N/A N/A
NovoSeven Expired Expired Expired4 Expired4
NovoEight N/A N/A N/A N/A
NovoThirteen@ (TRETTEN@) 2021 N/A Expired Expired
Refixia@ (REBINYN@) 20281 2022 20271 20271
Esperoct 20321 2029 20341 20341
vagifem 10 mcg 202256 N/A 20215 N/A
