DKK million,2020,2019,2018
Cash and cash equivalents,Cash at bank (note 4.2),12757,"15475,15638"
Borrowings¹,531,64,9
Cash and cash equivalents,12226,15411,15629
Financial reserves,Cash and cash equivalents,12226,"15411,15629"
Undrawn committed credit facility²,11531,11578,11574
Undrawn bridge facility³,5577,-,-
"Borrowings¹,³",576,595,506
Financial reserves,28758,26394,26697
Free cash flow,Net cash generated from operating activities,51951,"46782,44616"
Net cash used in investing activities,22436,11509,12080
Repayment on lease liabilities,950,822,-
Free cash flow,28565,34451,32536
