Project,Indication,Description Phase
Semaglutide 2.0 mg NN9535,Type 2 diabetes,A long-acting GLP-1 analogue for once-weekly treatment.
Oral semaglutide HD NN9924,Type 2 diabetes,"A long-acting oral GLP-1 analogue,25 and 50 mg, intended for once-daily oral treatment."
Icodec NN1436,Type 1 and 2 diabetes,A long-acting basal insulin analogue intended for once-weekly treatment.
Insulin 965 NN1965,Type 1 and 2 diabetes,A novel basal insulin analogue intended for once-daily treatment.
Icosema NN1535,Type 2,A combination of GLP-1 analogue semaglutide and insulin icodec intended for once-weekly treatment.
FDC Sema - OW GIP NN9389,diabetes Type 2 diabetes,A combination of semaglutide and novel GIP intended for once-weekly treatment.
Glucose-sensitive insulin Type 1 and NN1845,2 diabetes,A glucose-sensitive insulin analogue intended for once-daily treatment.
Ideal Pump Insulin NN1471,Type 1 diabetes,A novel insulin analogue ideal for use in a closed loop pump device as delivery.
DNA Immunotherapy NN9041,Type 1 diabetes,A novel plasmid encoding pre- and pro-insulin intended for preservation of beta cell function.
Obesity care,,
Semaglutide 2.4 mg NN9536,Obesity,A long-acting GLP-1 analogue intended for once-weekly treatment.
AM833,Obesity,A novel long-acting amylin analogue intended for
NN9838 AM833 + semaglutide,Obesity,once-weekly treatment. A combination of amylin analogue and GLP-1 analogue
NN9838 LA-GDF15,Obesity,semaglutide intended for once-weekly treatment. A long-acting GDF15 analogue intended for appetite
NN9215 PYY1875,Obesity,"regulation leading to weight loss. A novel analogue of the appetite-regulating hormone,"
