DKK,million,2020,2019,2018
Wages,and,salaries,26778,"25335,25259"
Share-based,payment,costs,(note,"5.1),823,363,414"
Pensions,-,defined,contribution,"plans,1961,1910,1791"
Pensions,-,defined,benefit,"plans,(note,3.5),138,151,73"
Other,social,security,contributions,"1862,1963,1901"
Other,employee,costs,2044,"2203,2087"
Total,employee,costs,for,"the,year,33606,31925,31525"
Employee,costs,capitalised,as,"intangible,assets,and,property,plant,and,equipment,-1279,-1314,-1500"
Change,in,employee,costs,"capitalised,as,inventories,-60,-139,-105"
Total,employee,costs,in,"the,income,statement,32267,30472,29920"
Included,in,the,income,"statement:,Cost,of,goods,sold,8896,8134,8164"
Sales,and,distribution,costs,"14146,13463,12214"
Research,and,development,costs,"6269,5968,6288"
Administrative,costs,2848,2679,2755
Other,operating,income,,"net,108,228,499"
Total,employee,costs,in,"the,income,statement,32267,30472,29920"
Number,of,employees,2020,"2019,2018"
Average,number,of,full-time,"employees,43759,42218,42881"
Year-end,number,of,full-time,"employees,44723,42703,42672"
Employees,(total),45323,43258,43202
