DerivativeCash at financialDKK million bank instruments Total,DerivativeCash at financialDKK million bank instruments Total,DerivativeCash at financialDKK million bank instruments Total,DerivativeCash at financialDKK million bank instruments Total,DerivativeCash at financialDKK million bank instruments Total,DerivativeCash at financialDKK million bank instruments Total,DerivativeCash at financialDKK million bank instruments Total,DerivativeCash at financialDKK million bank instruments Total,DerivativeCash at financialDKK million bank instruments Total,,,,,,,,
2020AA rangeA rangeBBB range Not rated or below BBB range,2020AA rangeA rangeBBB range Not rated or below BBB range,2020AA rangeA rangeBBB range Not rated or below BBB range,2020AA rangeA rangeBBB range Not rated or below BBB range,"7,296 989 8,2854,443 1,343 5,786212 一 212806 806","7,296 989 8,2854,443 1,343 5,786212 一 212806 806","7,296 989 8,2854,443 1,343 5,786212 一 212806 806","7,296 989 8,2854,443 1,343 5,786212 一 212806 806","7,296 989 8,2854,443 1,343 5,786212 一 212806 806",,,,,,,,
2020AA rangeA rangeBBB range Not rated or below BBB range,2020AA rangeA rangeBBB range Not rated or below BBB range,2020AA rangeA rangeBBB range Not rated or below BBB range,2020AA rangeA rangeBBB range Not rated or below BBB range,"7,296 989 8,2854,443 1,343 5,786212 一 212806 806","7,296 989 8,2854,443 1,343 5,786212 一 212806 806","7,296 989 8,2854,443 1,343 5,786212 一 212806 806","7,296 989 8,2854,443 1,343 5,786212 一 212806 806","7,296 989 8,2854,443 1,343 5,786212 一 212806 806","5,786",,,,,,,
2020AA rangeA rangeBBB range Not rated or below BBB range,2020AA rangeA rangeBBB range Not rated or below BBB range,2020AA rangeA rangeBBB range Not rated or below BBB range,2020AA rangeA rangeBBB range Not rated or below BBB range,"7,296 989 8,2854,443 1,343 5,786212 一 212806 806","7,296 989 8,2854,443 1,343 5,786212 一 212806 806","7,296 989 8,2854,443 1,343 5,786212 一 212806 806","7,296 989 8,2854,443 1,343 5,786212 一 212806 806","7,296 989 8,2854,443 1,343 5,786212 一 212806 806",,,,,,,,
2020AA rangeA rangeBBB range Not rated or below BBB range,2020AA rangeA rangeBBB range Not rated or below BBB range,2020AA rangeA rangeBBB range Not rated or below BBB range,2020AA rangeA rangeBBB range Not rated or below BBB range,"7,296 989 8,2854,443 1,343 5,786212 一 212806 806","7,296 989 8,2854,443 1,343 5,786212 一 212806 806","7,296 989 8,2854,443 1,343 5,786212 一 212806 806","7,296 989 8,2854,443 1,343 5,786212 一 212806 806","7,296 989 8,2854,443 1,343 5,786212 一 212806 806",,,一,一,212,,,
2020AA rangeA rangeBBB range Not rated or below BBB range,2020AA rangeA rangeBBB range Not rated or below BBB range,2020AA rangeA rangeBBB range Not rated or below BBB range,2020AA rangeA rangeBBB range Not rated or below BBB range,"7,296 989 8,2854,443 1,343 5,786212 一 212806 806","7,296 989 8,2854,443 1,343 5,786212 一 212806 806","7,296 989 8,2854,443 1,343 5,786212 一 212806 806","7,296 989 8,2854,443 1,343 5,786212 一 212806 806","7,296 989 8,2854,443 1,343 5,786212 一 212806 806",806,,,,,,,
Total,Total,Total,Total,"12,757 2,332","12,757 2,332","12,757 2,332","12,757 2,332","15,089",,,,,,,,
"2019AA range 7,471 139A range 7,145 49BBB range 314Not rated or below BBB range 545","2019AA range 7,471 139A range 7,145 49BBB range 314Not rated or below BBB range 545","2019AA range 7,471 139A range 7,145 49BBB range 314Not rated or below BBB range 545","2019AA range 7,471 139A range 7,145 49BBB range 314Not rated or below BBB range 545","2019AA range 7,471 139A range 7,145 49BBB range 314Not rated or below BBB range 545","2019AA range 7,471 139A range 7,145 49BBB range 314Not rated or below BBB range 545","2019AA range 7,471 139A range 7,145 49BBB range 314Not rated or below BBB range 545","2019AA range 7,471 139A range 7,145 49BBB range 314Not rated or below BBB range 545",,,,,,,,,
"2019AA range 7,471 139A range 7,145 49BBB range 314Not rated or below BBB range 545","2019AA range 7,471 139A range 7,145 49BBB range 314Not rated or below BBB range 545","2019AA range 7,471 139A range 7,145 49BBB range 314Not rated or below BBB range 545","2019AA range 7,471 139A range 7,145 49BBB range 314Not rated or below BBB range 545","2019AA range 7,471 139A range 7,145 49BBB range 314Not rated or below BBB range 545","2019AA range 7,471 139A range 7,145 49BBB range 314Not rated or below BBB range 545","2019AA range 7,471 139A range 7,145 49BBB range 314Not rated or below BBB range 545","2019AA range 7,471 139A range 7,145 49BBB range 314Not rated or below BBB range 545","7,610",,,,,,,,
"2019AA range 7,471 139A range 7,145 49BBB range 314Not rated or below BBB range 545","2019AA range 7,471 139A range 7,145 49BBB range 314Not rated or below BBB range 545","2019AA range 7,471 139A range 7,145 49BBB range 314Not rated or below BBB range 545","2019AA range 7,471 139A range 7,145 49BBB range 314Not rated or below BBB range 545","2019AA range 7,471 139A range 7,145 49BBB range 314Not rated or below BBB range 545","2019AA range 7,471 139A range 7,145 49BBB range 314Not rated or below BBB range 545","2019AA range 7,471 139A range 7,145 49BBB range 314Not rated or below BBB range 545","2019AA range 7,471 139A range 7,145 49BBB range 314Not rated or below BBB range 545",,,"7,145 49","7,145 49","7,145 49","7,145 49","7,145 49","7,145 49","7,194"
