DKK million,Investments in subsidiaries,Amounts owed by affiliated companies,Investment in associated company,Other securities and investments,2020,2019
Cost at the beginning of the year,"8,933","8,257",105,"1,198","18,493","17,277"
Investments during the year,"21,816","7,789",24,"34,546","29,629","5,409"
Divestments and repayments during the year,"(1,575)","(11,999)",(2),"(13,576)","(4,193)",
Cost at the end of the year,"29,174","4,047",105,"1,220","34,546","18,493"
Value adjustments at the beginning of the year,"28,652",267,108,(224),"28,803","28,952"
Profit/(loss) before tax,"18,187","18,187","16,514",,,
Share of result after tax in associated company,21,21,,,,
Income taxes on profit for the year,"(3,748)","(3,748)",,,,
Market value adjustment,(171),(171),(187),,,
Dividends received,"(16,767)",(18),"(16,785)","(6,320)",,
Divestments during the year,(3),(3),,,,
Effect of exchange rate adjustment,"(2,537)",(512),(54),"(3,103)",450,
Other adjustments,"2,468","2,468",(215),,,
Transfer between unrealised internal profit and value adjustment,—,—,"8,201",,,
Value adjustments at the end of the year,"26,255",(245),111,(452),"25,669","28,803"
Unrealised internal profit at the beginning of the year,"(13,420)","(13,420)","(17,760)",,,
Unrealised internal profit movements in the year,"(4,045)","(4,045)","(3,791)",,,
Effect of exchange rate adjustment,848,848,(70),,,
Transfer between unrealised internal profit and value adjustment,—,—,"8,201",,,
Unrealised internal profit at the end of the year,"(16,617)",—,—,"(16,617)","(13,420)",
Carrying amount at the end of the year,"38,812","3,802",216,768,"43,598","33,876"
