DKK million,2020,2019
Raw materials,"3,326","2,842"
Work in progress,"12,252","11,375"
Finished goods,"5,111","4,850"
Total inventories (gross),"20,689","19,067"
Write-downs at year-end,"(2,1)","(1,426)"
Total inventories (net) Indirect production costs included in work in,"18,536","17,641"
progress and finished goods Share of total inventories (net),"9,703 52%","9,216 52%"
Movements in inventory write-downs:,,
Write-downs at the beginning of the year,"1,426 1,628","1,959"
Write-downs during the year,,414
Utilisation of write-downs,(528),(68)
Reversal of write-downs,(373),(879)
Write-downs at the end of the year,"2,153","1,426"
