,Non-casnmovements,Non-casnmovements,Non-casnmovements,Non-casnmovements,Non-casnmovements,Non-casnmovements,End of the
,Beginning,Beginning,Exchange,Exchange,Exchange,,
DKK million,of the year,Cash flows Additions,,Disposals,rates,Other,End of the
2020,,,,,,,
Lease liabilities,"3,824",(950),978,(171),(9),"3,672",
Loans,,"5,582",,(5),,"5,577",
Bank overdrafts1,595,100,,(119),,576,
Liabilities arising from financing activities,"4,419","4,732",978,,(295) （9）,"9,825",
Bank overdrafts1,64,467,,,,531,
Total borowings,"4,483","5,199",978,,(295) （9）,"10,356",
2019,,,,,,,
Lease liabilities,"3,988",(822),640,(57),63 12,"3,824",
Bank overdrafts1,506,81,,一,8,595,
Liabilities arising from financing activities,"4,494",(741),640,(57),71 12,"4,419",
Bank overdrafts1,9,55,1,1,,64,
Total borrowings,"4,503",(686),640,(57),71 12,"4,483",
