DKK million,Net Reserve for,Net Reserve for,Net Reserve for,Develop- ment costs reserve,,,
DKK million,Share capital,revaluation reserve,cash flow hedges,Develop- ment costs reserve,Retained,2020,2019
Balance at the beginning of the year,480,"15,340",(323),811,"earnings 41,124","57,432","51,505"
Appropriated from net profit,,,,,"24,995","24,995","15,377"
Appropriated from net profit to net revaluation reserve Exchange rate adjustments of investments in subsidiaries,,"(3,902)",,,,"(3,902)","4,224 226"
,,"(1,689)",,,,"(1,689)",
Effect of cash flow hedges transferred to the income statement,,,"1,940",,,"1,940","1,506"
Fair value adjustments of cash flow hedges for the year,,,,,,,(323)
Development costs,,,,148,(148),,
Other adjustments,,,,,(179),(179),(155)
Transactions with owners:,,,,,,,
Total dividend for the year,,,,,"21,066","21,066","19,651"
Interim dividends paid during the year,,,,,"(7,570)","(7,570)","(7,100)"
Dividends paid for prior year,,,,,"(12,551)","(12,551)","(12,309)"
Reduction of the B share capital,(10),,,,10,,
Purchase of treasury shares,,,,,"(16,855)","(16,855)","(15,334)"
Share-based payments (note 3),,,,,,,
Tax related to restricted stock units,,,,,327,327,148
Balance at the end of the year,,,,,22,22,16
,470,"9,749","1,617",959,"50,241","63,036","57,432"
Proposed appropriation of net profit:,,,,,,,
Interim dividend for the year,,,,,,"7,570","7,100"
Final dividend for the year,,,,,,"13,496","12,551"
Appropriated to net revaluation reserve,,,,,,"(3,902)","4,224"
Transferred to retained earnings,,,,,,"24,995","15,377"
Distribution of net profit,,,,,,"42,159","39,252"
