Total tax contribution,DKK million,Taxes borne,Taxes collected
Corporate income taxes paid,2020,10106,"3471,13577"
Corporate income taxes paid,2019,14392,13006
Corporate income taxes paid,2018,13006,
Employment taxes,2020,1549,"8039,9588"
Employment taxes,2019,9638,9427
Employment taxes,2018,9427,
Indirect taxes,2020,1307,"1190,2497"
Indirect taxes,2019,2610,2257
Indirect taxes,2018,2257,
Other taxes,2020,714,"887,1135"
Other taxes,2019,887,1135
Other taxes,2018,1135,
Total,2020,13676,"12700,26376"
Total,2019,27527,25825
