DKK million,Note,2020,2019
Assets,Intangible assets,"7,938","3,428"
Assets,"Property, plant and equipment","25,322","24,724"
Assets,Financial assets,"43,598","33,876"
Assets,Deferred income tax assets,95,
Assets,Other receivables and prepayments,218,239
Total non-current assets,,"77,076","62,362"
Raw materials,,"2,781","2,357"
Work in progress,,"10,647","9,761"
Finished goods,,"2,246","2,590"
Inventories,,"15,674","14,708"
Trade receivables,,"1,523","1,687"
Amounts owed by affiliated companies,,"15,893","14,302"
Tax receivables,,,295
Other receivables and prepayments,,"2,353","1,340"
Receivables,,"19,769","17,624"
Derivative financial instruments,9,"2,332",188
Cash at bank,,"11,509","14,067"
Total current assets,,"49,284","46,587"
Total assets,,"126,360","108,949"
