DKK million,2020,2019,2018
Novo Holdings A/S,Purchase of Novo Nordisk B shares,"5,963","4,894,4,207"
Novo Holdings A/S,Sale of NNIT B shares,,(368)
Novo Holdings A/S,Dividend payment to Novo Holdings A/S,"5,767","5,580,5,496"
NNIT Group,Services provided by NNIT,775,"941,1,052"
NNIT Group,Dividend payment from NNIT,(18),"(20),(19)"
Novozymes Group,Services provided by Novo Nordisk,(113),"(132),(115)"
Novozymes Group,Services provided by Novozymes,72,"103,121"
CS Solar Fund XIV,Purchase of shares by Novo Nordisk,,"97,—"
CS Solar Fund XIV,Liability for capital commitment,389,
CS Solar Fund XIV,Distribution by CS Solar Fund XIV,(385),
