DKK million,2020,2019,2018
Intangible assets,"20,657","5,835","5,145"
"Property, plant and equipment","50,269","50,551","41,891"
Deferred income tax assets,"5,865","4,121","2,893"
Other receivables and prepayments (non-current),674,841,
Inventories,"18,536","17,641","16,336"
Trade receivables,"27,734","24,912","22,786"
Tax receivables,289,806,"1,013"
Other receivables and prepayments (current),"4,161","3,434","3,090"
Deferred tax liabilities,"(2,502)",(80),(118)
Retirement benefit obligations,"(1,399)","(1,334)","(1,256)"
Provisions (non-current),"(4,526)","(4,613)","(3,392)"
Trade payables,"(5,717)","(6,358)","(6,756)"
Tax payables,"(3,913)","(4,212)","(4,610)"
Other liabilities,"(17,005)","(15,085)","(14,098)"
Provisions (current),"(34,814)","(31,120)","(26,161)"
Net operating assets,"58,309","45,339","36,763"
Average net operating assets,"51,824","42,940","32,832"
