DKK million,Note,2020,2019
Assets,Intangible assets,3.1,"20,657"
Assets,"Property, plant and equipment",3.1,"50,269"
Assets,Investments in associated companies,,582
Assets,Deferred income tax assets,2.6,"5,865"
Assets,Other receivables and prepayments,,674
Assets,Other financial assets,,"1,066"
Total non-current assets,,,"79,113"
Assets,Inventories,3.3,"18,536"
Assets,Trade receivables,3.4,"27,734"
Assets,Tax receivables,,289
Assets,Other receivables and prepayments,4,"4,161"
Assets,Derivative financial instruments,"4.2, 4.3","2,332"
Assets,Cash at bank,"4.2, 4.5","12,757"
Total current assets,,,"65,809"
Total assets,Total assets,,"144,922"
