DKK million,2016,2017,2018,2019,2020,2019-2020,Change
Financial performance,,,,,,,
Net sales,"111,780","111,696","111,831","122,021","126,946",4%,
Sales growth as reported,3.6%,(0.1%),0.1%,9.1%,4.0%,,
Sales growth in constant exchange rates (CER)¹,5.5%,2.3%,4.6%,5.6%,6.7%,,
Operating profit,"48,432","48,967","47,248","52,483","54,126",3%,
Operating profit growth as reported,(2.0%),1.1%,(3.5%),11.1%,3.1%,,
Operating profit growth in constant exchange rates (CER)¹,0.2%,4.8%,2.8%,5.6%,6.8%,,
"Depreciation, amortisation and impairment losses","3,193","3,182","3,925","5,661","5,753",,
Net financials,(634),(287),367,"(3,930)",(996),,
Profit before income taxes,"47,798","48,680","47,615","48,553","53,130",9%,
Effective tax rate²,20.7%,21.7%,18.9%,19.8%,20.7%,,
Net profit,"37,925","38,130","38,628","38,951","42,138",8%,
Purchase of intangible assets²,"1,199","1,022","2,774","2,299","16,256",607%,
"Purchase of property, plant and equipment²","7,068","7,626","9,636","8,932","5,825",(35)%,
Free cash flow¹,"39,991","32,588","32,536","34,451","28,565",(17)%,
Total assets,"97,539","102,355","110,769","125,612","144,922",15%,
Equity,"45,269","49,815","51,839","57,593","63,325",10%,
Financial ratios,,,,,,,
Gross margin²,84.6%,84.2%,84.2%,83.5%,83.5%,,
Free cash flow\t39,991\t32,588\t32,536\t34,451\t28,565\t(17%)\t,,
Total assets\t97,539\t102,355\t110,769\t125,612\t144,922\t15%\t,,
Equity\t45,269\t49,815\t51,839\t57,593\t63,325\t10%\t,,
Gross margin\t84.6%\t84.2%\t84.2%\t83.5%\t83.5%\t,,,,,,,
Sales and distribution costs in percentage of sales\t25.4%\t25.4%\t26.3%\t26.1%\t25.9%\t,,,,,,,
Research and development costs in percentage of sales\t13.0%\t12.5%\t13.2%\t11.7%\t12.2%\t,,,,,,,
Operating margin\t43.3%\t43.8%\t42.2%\t43.0%\t42.6%\t,,,,,,,
Net profit margin\t33.9%\t34.1%\t34.5%\t31.9%\t33.2%\t,,,,,,,
Cash to earnings\t105.4%\t85.5%\t84.2%\t88.4%\t67.8%\t,,,,,,,
Operating profit after tax to net operating assets\t150.2%\t143.2%\t116.7%\t98.0%\t82.8%\t,,,,,,,
Dividend payout ratio\t50.2%\t50.4%\t50.6%\t50.5%\t50.0%\t,,,,,,,
Basic earnings per share/ADR in DKK\t14.99\t15.42\t15.96\t16.41\t18.05\t10%\t,,,,,,,
Diluted earnings per share/ADR in DKK\t14.96\t15.39\t15.93\t16.38\t18.01\t10%\t,,,,,,,
Total number of shares (million),31 December\t2,550\t2,500\t2,450\t2,"400\t2,350\t(2%)\t",,
Dividend per share in DKK\t7.60\t7.85\t8.15\t8.35\t9.10\t9%\t,,,,,,,
Total dividend (DKK million)\t19,048\t19,206\t19,547\t19,651\t21,066\t7%\t,,
Share repurchases (DKK million)\t15,057\t16,845\t15,567\t15,334\t16,855\t10%\t,,
Closing share price (DKK)\t255\t335\t298\t387\t427\t10%\t,,,,,,,
Share repurchases (DKK million)\t\t15,057\t\t16,845\t\t15,567\t\t15,334\t\t16,855\t\t10%,,
Closing share price (DKK)\t\t255\t\t335\t\t298\t\t387\t\t427\t\t10%,,,,,,,
