,First,First,First,First,First,Board of,Chairmanship,Audit,Nomination,Remuneration R&D,,
Name (male/female),elected Term,,Nationality,Born,Independence²,Directors,,Committe,Committee,Committee,Committee,Competencies
Helge Lund (m),20173,2021,Norwegian,Oct. 1962,Independent,········,·······,,：…,,,· ：
Jeppe Christiansen (m),2013,2021,Danish,Nov. 1959,Not independent 4,·····○···,○·····,,,··…,,：
Laurence Debroux (f),2019,2021,French,Jul.1969,Independent 9,○·······,,○…·,,,,： ··
Brian Daniels (m),2016,2021,American,Feb. 1959,Independent,·········,,,,：·。,：·,
Andreas Fibig (m),2018,2021,German,Feb. 1962,Independent 5. 6,·········,,,,,,· ：
Sylvie Gregoire (f),2015,2021,,Canadian/American Nov. 1961,"Independent 5, 6",····,,：…,：…,,……,·
Liz Hewitt (f),2012,2021,British,Nov. 1956,"Independent 5,6,9",·········,,：…,,：··…,,： ：
Mette Bgjer Jensen (f),2018,2022,Danish,Dec. 1975,Not independent 7,·········,,,：…,,,N/A (employee-elected)
Kasim Kutay (m),2017,2021,British,May 1965,Not independent 4,·········,,,：…,,：…,····
Anne Marie Kverneland(f) 2000,,2022,Danish,Jul.1956,Not independent 7,： ·····,,,,,,N/A (employee-elected)
Martin Mackay (m),2018,2021,American,Apr. 1956,Independent,·········,,,,,·,·
Thomas Rantzau (m),2018,,2022Danish,Mar. 1972,Not independent 7,·········,,,,,：…,N/A (employee-elected)
Stig Strobaek (m),1998,,2022Danish,,Jan.1964Notindependent 5.7,·········,,…·,,,,N/A (employee-elected)
