DKK million,"Property, plant and equipment",Intangible assets,Inventories,Liabilities,Other,Offset within countries,Total
2020,Net deferred tax asset/(liability) at 1 January,-1591,-718,1811,3452,1087,"-,4041"
2020,Income/(charge) to the income statement,-47,-2883,963,1449,520,"-,2"
2020,Income/(charge) to other comprehensive income,-,92,-216,16,-469,"-,-577"
2020,Income/(charge) to equity,-,-92,-,-,20,"-,-72"
2020,Acquisition of subsidiaries,-,-,-,-,276,"-,276"
2020,Effect of exchange rate adjustment,24,1,-2,-300,-30,"-,-307"
2020,Net deferred tax asset/(liability) at 31 December,-1614,-3600,2556,4617,1404,"-,3363"
2020,Classified as follows:,Deferred tax asset at 31 December,755,46,2568,4895,"2903,-5302,5865"
2020,Deferred tax liability at 31 December,-2369,-3646,-12,-278,-1499,"5302,-2502"
2019,Net deferred tax asset/(liability) at 1 January,-703,-564,973,2402,667,"-,2775"
2019,"Change in accounting policy, leases",-865,-,-,865,-,"-,-"
2019,Income/(charge) to the income statement,-5,-155,820,133,689,"-,1482"
2019,Income/(charge) to other comprehensive income,-,-,18,47,-296,"-,-231"
2019,Income/(charge) to equity,-,-,-,-,18,"-,18"
2019,Disposal of subsidiaries,-,-,-,-18,-,"-,-18"
2019,Effect of exchange rate adjustment,-18,1,-,23,9,"-,15"
2019,Net deferred tax asset/(liability) at 31 December,-1591,-718,1811,3452,1087,"-,4041"
2019,Classified as follows:,Deferred tax asset at 31 December,769,58,3428,3580,"1843,-5557,4121"
2019,Deferred tax liability at 31 December,-2360,-776,-1617,-128,-756,"5557,-80"
