DKK million,,2020,2019
Net sales,2,"100,940","93,440"
Cost of goods sold,3,"20,662","17,940"
Gross profit,,"80,278","75,500"
Sales and distribution costs,3,"26,673","23,619"
Research and development costs,3,"14,524","12,858"
Administrative costs,3,"1,913","1,837"
"Other operating income, net",,"1,976","2,204"
Operating profit,8,"39,144","39,390"
"Profit in subsidiaries, net of tax",8,"10,394","10,497"
Financial income,4,"2,144",
Financial expenses,4,"2,238","3,707"
Profit before income taxes,,"49,444","46,665"
Income taxes,8,"7,285","7,413"
Net profit,8,"42,159","39,252"
