Company and country,Percentage of shares owned,Activity
Region China,"Novo Nordisk (China) Pharmaceuticals Co., Ltd., China","100,"
"Novo Nordisk Region China A/S, Denmark",100,
"Beijing Novo Nordisk Pharmaceuticals Science & Technology Co., Ltd., China",100,
"Novo Nordisk Hong Kong Limited, Hong Kong",100,
"Novo Nordisk Pharma (Taiwan) Ltd., Taiwan",100,
Rest of World,"Novo Nordisk Pharma Argentina S.A., Argentina","100,"
"Novo Nordisk Pharmaceuticals Pty. Ltd., Australia",100,
"Novo Nordisk Pharma (Private) Limited, Bangladesh",100,
"Novo Nordisk Produção Farmacêutica do Brasil Ltda., Brazil",100,
"Novo Nordisk Farmaçêutica do Brasil Ltda., Brazil",100,
"Novo Nordisk Farmacêutica Limitada, Chile",100,
"Novo Nordisk Colombia SAS, Colombia",100,
"Novo Nordisk India Private Limited, India",100,
"Novo Nordisk Service Centre (India) Pvt. Ltd., India",100,
"PT. Novo Nordisk Indonesia, Indonesia",100,
"Novo Nordisk Pars, Iran",100,
"Novo Nordisk Pharma Ltd., Japan",100,
"Novo Nordisk Pharma (Malaysia) Sdn Bhd, Malaysia",100,
"Novo Nordisk Pharma Operations (Business Area) Sdn Bhd, Malaysia",100,
"Novo Nordisk Mexico S.A. de C.V., Mexico",100,
"Novo Nordisk Pharmaceuticals Ltd., New Zealand",100,
"Novo Nordisk Pharma (Private) Limited, Pakistan",100,
"Novo Nordisk Panama S.A., Panama",100,
"Novo Nordisk Peru S.A.C., Peru",100,
"Novo Nordisk Pharmaceuticals (Philippines) Inc., Philippines",100,
"Novo Nordisk Pharma (Singapore) Pte Ltd., Singapore",100,
"Novo Investment Pte Limited, Singapore",100,
"Novo Nordisk Pharma Korea Ltd., South Korea",100,
"Novo Nordisk Lanka (PVT) Ltd, Sri Lanka",100,
"Novo Nordisk Pharma (Thailand) Ltd., Thailand",93,
"Novo Nordisk Venezuela Casa de Representación C.A., Venezuela",100,
Other subsidiaries and associated companies,"NNE A/S, Denmark","100,"
"NNIT A/S, Denmark",18,
"Churchill Stateside Solar Fund XIV, LLC, United States",99,
