DKK million,2020,2019
Cost at the beginning of the year,"6,065","4,887"
Additions during the year,"5,165","1,190"
Disposals during the year,(153),(12)
Cost at the end of the year,"11,077","6,065"
Amortisation at the beginning of the year,"2,637","2,088"
Amortisation during the year,306,271
Impairment losses for the year,349,290
Amortisation and impairment losses reversed on disposals during the year,(153),(12)
Amortisation at the end of the year,"3,139","2,637"
Carrying amount at the end of the year,"7,938","3,428"
