DKK million,Within 1 year,1-3 years,3-5 years,More than 5 years,Total,Within 1 year,1-3 years,3-5 years,More than 5 years,Total
Retirement benefit obligations,23,46,44,1286,1399,13,26,25,1270,1334
Leases (note 4.4),855,1247,694,1241,4037,847,1424,734,1140,4145
Total obligations recognised in the balance sheet,878,1293,738,2527,5436,860,1450,759,2410,5479
Leases^1,152,198,134,280,764,128,229,199,376,932
Research and development obligations,2733,3460,905,137,7235,2600,3258,1493,29,7380
Research and development - potential milestone payments^2,205,918,507,2453,4083,300,1023,1009,2403,4735
Commercial product launch - potential milestone payments^2,,,212,5893,6105,,,,3468,3468
"Purchase obligations relating to investments in property, plant and equipment",339,,,,339,172,,,172,
Other purchase obligations,7528,3014,773,748,12063,5695,2989,1175,621,10480
Total obligations not recognised in the balance sheet,10957,7590,2531,9511,30589,8895,7499,3876,6897,27167
Total contractual obligations,11835,8883,3269,12038,36025,9755,8949,4635,9307,32646
