Project,Indication,Description,Phase
Sogroya® NN8640,Adult GHD¹,A long-acting HGH² derivative intended for once-weekly subcutaneous administration in adults.,🟨🟨🟨🟨
Somapacitan NN8640,GHD¹,A long-acting HGH² analogue intended for once-weekly subcutaneous administration in children.,🟨🟨🟨⚪
Concizumab NN7415,Haemophilia A and B w/wo inhibitors,A monoclonal antibody against tissue factor pathway inhibitor intended for subcutaneous prophylaxis treatment.,🟨🟨🟨⚪
Macrilen™ EX2020,GHD¹,An oral diagnostic agent used for the diagnosis of GHD in adolescents and children.,🟨🟨⚪⚪
Mim8 NN7769,Haemophilia A with or without inhibitors,A next generation FVIII mimetic bispecific antibody for subcutaneous prophylaxis of haemophilia A regardless of inhibitor status.,🟨🟨⚪⚪
Eclipse NN7533,Sickle cell disease,An oral combination treatment of sickle cell disease and beta thalassaemia. Project is developed in collaboration with EpiDestiny.,🟨⚪⚪⚪
Semaglutide NN9931,NASH³,A long-acting GLP-1 analogue for once-weekly treatment of NASH³.,🟩🟩⚪⚪
Ziltivekimab NN6018,CVD⁴,A novel once-monthly monoclonal antibody intended for inhibition of IL-6 activity.,🟩🟩⚪⚪
PCSK9i peptide NN6434,CVD⁴,A long-acting PCSK9 inhibitor for subcutaneous treatment.,🟩⚪⚪⚪
Anti-ApoC3 NN5058,CVD⁴,A novel monoclonal antibody intended for inhibition of ApoCIII activity. Project is developed in collaboration with STATEN.,🟩⚪⚪⚪
