Risk area,Description,Impact,Mitigating actions
1,Research and Development Risks,"Findings in pre-clinical and clinical activities, regulatory processes or commercial product planning leading to delays or failure of products in the pipeline.","Patients would not benefit from innovative treatments,Could have adverse impact on sales, profits and market position,Insight into patients' unmet needs informs the selection of new product candidates"
2,"Product Supply, Quality and Safety Risks",Disruption of product supply or quality failures may compromise the health of patients.,"Product shortages could have potential implications for patients,Could put patients' health and lives at risk and jeopardise Novo Nordisk's reputation and licence to operate if regulatory compliance is not ensured,Could have an adverse impact on sales, profits and market position,Global production with multiple facilities and safety stock reduces supply risk"
3,Commercialisation Risks,"Market dynamics and geopolitical, macroeconomic or healthcare crises (e.g. pandemics) leading to reduced payer ability and willingness to pay.","Market dynamics could impact price levels and patient access,Could have an adverse impact on sales, profits and market position,Innovation of novel products, clinical trial data and real-world evidence demonstrate added value of new products"
4,IT Security Risks,"Disruption to IT systems, such as cyber-attacks or infrastructure failure resulting in business disruption or breach of data confidentiality.","Could limit our ability to produce and safeguard product quality,Could compromise patients' or other individuals' privacy,Could limit our ability to maintain operations,Could limit future business opportunities if proprietary information is lost"
5,Financial Risks,"Exchange rate fluctuations, disputes with tax authorities and changes to tax legislation and interpretation. Our foreign exchange risk is most significant in USD, CNY, and JPY.","Could negatively impact cash flow, statement of comprehensive income and balance sheet,Could lead to significant tax adjustments, fines and higher-than-expected tax level"
6,Legal and Compliance Risks,"Breach of legislation, industry codes or company policies. Competitors asserting patents against Novo Nordisk or challenging patents critical for protection of commercial products and pipeline candidates.","Could expose Novo Nordisk to investigations, criminal and civil sanctions and other penalties,Could compromise our reputation and the rights and integrity of individuals involved"
7,,Unexpected loss of exclusivity for or injunctions against existing and pipeline products could have an adverse impact on future sales,
8,,Legal review of key activities,
9,,Business Ethics Code of Conduct and compliance hotline in place,
10,,Internal Audit of compliance with business ethics standards,
11,,Internal controls minimise vulnerability to patent infringement and invalidity actions,
