DKK million,Land and buildings,Plant and machinery,Other equipment,Assets under construction,2020,2019
Cost at the beginning of the year,"20,757","20,816","3,732","4,240","49,545","47,292"
Change of accounting policy for leases,—,—,—,—,—,"1,010"
Additions during the year,152,581,123,"2,233","3,089","2,021"
Disposals during the year,(69),(526),(40),(16),(651),(778)
Transfer from/(to) other items,"1,254","1,476",198,"(2,928)",—,—
Cost at the end of the year,"22,094","22,347","4,013","3,529","51,983","49,545"
Depreciation and impairment losses at the beginning of the year,"8,352","14,367","2,102",—,"24,821","23,151"
Depreciation for the year,"1,023","1,038",326,—,"2,387","2,283"
Impairment losses for the year,8,69,4,16,97,164
Depreciation reversed on disposals during the year,(69),(520),(39),(16),(644),(777)
Depreciation and impairment losses at the end of the year,"9,314","14,954","2,393",—,"26,661","24,821"
Carrying amount at the end of the year,"12,780","7,393","1,620","3,529","25,322","24,724"
"Of which related to leased property, plant and equipment",709,—,54,—,763,877
