DKK million,2016,2017,2018,2019,2020,2019-2020
DKK million,2016,2017,2018,2019,2020,Change
Financial performance,,,"111,831","122,021","126,946",
Net sales,"111,780","111,696 (0.1%)",0.1%,9.1%,4.0%,
Sales growth as reported Sales growth in constant exchange rates (CER)1,3.6%,2.3%,4.6%,5.6%,6.7%,
Operating profit,"5.5% 48,432","48,967","47,248","52,483","54,126",
Operating profit growth as reported,(2.0%),1.1%,(3.5%),11.1%,3.1%,
Operating profit growth in constant exchange rates (CER)1,,,2.8%,5.6%,6.8%,
"Depreciation,amortisation and impairment losses","0,2%","4.8% 3,182",,"5,661","5,753",
Net financials,"3,193",,"3,925 367","(3,930)",(996),
Profit before income taxes,(634),(287),,,,
Effective tax rate²,"47,798","48,680","47,615","48,553","53,130",
Net profit,20.7%,21.7%,18.9%,19.8%,20.7%,
Purchase of intangible assets2,"37,925","38,130","38,628","38,951","42,138",
"Purchase ofproperty,plantandequipment2","1,199","1,022","2,774","2,299","16,256 607% 5,825",
Free cash flow1,"7,068","7,626",9.636,"8,932",(35%),
Total assets,"39,991",32.588,"32,536","34,451","28,565 (17%) 15%",
Equity,"97,539","102,355","110,769","125,612","144,922 10%",
Financial ratios,"45,269","49,815","51,839","57,593","63,325",
Gross margin2,,,,,83.5%,
Sales and distribution costs in percentage of sales,84.6%,84.2% 25.4%,84.2%,83.5%,,
Research and development costs in percentage of sales,25.4% 13.0%,12.5%,26.3% 13.2%,26.1% 11.7%,25.9%,
Operating margin²,43.3%,43.8%,42.2%,43.0%,12.2% 42.6%,
Net profit margin2,33.9%,34.1%,34.5%,31.9%,,
Cash to earnings1,,,,,33.2%,
Operating profit after tax to net operating assets1,105.4%,85.5%,84.2%,88.4%,67.8%,
Dividend payout ratio²,"150,2%","143,2%","116,7%","98,0%",82.8%,
Share performance,50.2%,50.4%,50.6%,50.5%,50.0%,
Basic earnings per share/ADR in DKK2,14.99,15.42,15.96,16.41,18.05,
Diluted earnings per share/ADR in DKK2,14.96,15.39,15.93,16.38,10% 18.01 10%,
"Total number of shares (million),31 December","2,550","2,500","2,450","2,400","2,350 (2%)",
Dividend per share in DKK,7.60,7.85,8.15,8.35,9.10 3 9%,
Total dividend (DKK million),"19,048","19,206","19,547","19,651","21,066 3 7%",
Share repurchases (DKK million),"15,057","16,845","15,567","15,334","16,855 10%",
Closing share price (DKK),255,335,298,387,427 10%,
