DKK million,Note,2020,2019
Assets,Intangible assets,6,"7938,3428"
Assets,"Property, plant and equipment",7,"25322,24724"
Assets,Financial assets,8,"43598,33876"
Assets,Deferred income tax assets,5,"95,"
Assets,Other receivables and prepayments,218,239
Total non-current assets,77076,62362,
Raw materials,2781,2357,
Work in progress,10647,9761,
Finished goods,2246,2590,
Inventories,15674,14708,
Trade receivables,1523,1687,
Amounts owed by affiliated companies,15893,14302,
Tax receivables,,295,
Other receivables and prepayments,2353,1340,
Receivables,19769,17624,
Derivative financial instruments,9,2332,188
Cash at bank,11509,14067,
Total current assets,49284,46587,
Total assets,126360,108949,
