DKK million,Note,2020,2019,2018
Income statement,,,,
Net sales,"2.1,2.2","126,946","122,021","111,831"
Cost of goods sold,2.2,"20,932","20,088","17,617"
Gross profit,,"106,014","101,933","94,214"
Sales and distribution costs,2.2,"32,928","31,823","29,397"
Research and development costs,"2.2, 2.3","15,462","14,220","14,805"
Administrative costs,2.2,"3,958","4,007","3,916"
"Other operating income, net","2.2,2.5",460,600,"1,152"
Operating profit,,"54,126","52,483","47,248"
Financial income,4.9,"1,628",65,"2,122"
Financial expenses,4.9,"2,624","3,995","1,755"
Profit before income taxes,,"53,130","48,553","47,615"
Income taxes,2.6,"10,992","9,602","8,987"
Net profit,,"42,138","38,951","38,628"
Earnings per share,,,,
Basic earnings per share (DKK),4.1,18.05,16.41,15.96
Diluted earnings per share (DKK),4.1,18.01,16.38,15.93
