Research& Chairmanship Audit Committee Nomination Committee Remuneration Committee Development Committee,Research& Chairmanship Audit Committee Nomination Committee Remuneration Committee Development Committee,Research& Chairmanship Audit Committee Nomination Committee Remuneration Committee Development Committee,Research& Chairmanship Audit Committee Nomination Committee Remuneration Committee Development Committee,Research& Chairmanship Audit Committee Nomination Committee Remuneration Committee Development Committee,Research& Chairmanship Audit Committee Nomination Committee Remuneration Committee Development Committee,Research& Chairmanship Audit Committee Nomination Committee Remuneration Committee Development Committee,Research& Chairmanship Audit Committee Nomination Committee Remuneration Committee Development Committee,Research& Chairmanship Audit Committee Nomination Committee Remuneration Committee Development Committee,,,
Research& Chairmanship Audit Committee Nomination Committee Remuneration Committee Development Committee,Research& Chairmanship Audit Committee Nomination Committee Remuneration Committee Development Committee,Research& Chairmanship Audit Committee Nomination Committee Remuneration Committee Development Committee,Research& Chairmanship Audit Committee Nomination Committee Remuneration Committee Development Committee,Research& Chairmanship Audit Committee Nomination Committee Remuneration Committee Development Committee,Research& Chairmanship Audit Committee Nomination Committee Remuneration Committee Development Committee,Research& Chairmanship Audit Committee Nomination Committee Remuneration Committee Development Committee,Research& Chairmanship Audit Committee Nomination Committee Remuneration Committee Development Committee,Research& Chairmanship Audit Committee Nomination Committee Remuneration Committee Development Committee,Nomination Committee,Remuneration Committee,Remuneration Committee
Key responsibilities Assists the Board ofDirectors with:,"Planning of Board meetings Employment,incentiveremuneration and performance evaluation of Executive ManagementRepresents the Board externally","Planning of Board meetings Employment,incentiveremuneration and performance evaluation of Executive ManagementRepresents the Board externally","Planning of Board meetings Employment,incentiveremuneration and performance evaluation of Executive ManagementRepresents the Board externally",The external auditorsThe internal audit function,The competence profile andcomposition of the Board,"The Remuneration PolicyThe actual remuneration of Boardmembers, Board committees and Executive Management","The Remuneration PolicyThe actual remuneration of Boardmembers, Board committees and Executive Management",The research and developmentstrategyThe pipeline- The R&D organisation,,,
Key responsibilities Assists the Board ofDirectors with:,"Planning of Board meetings Employment,incentiveremuneration and performance evaluation of Executive ManagementRepresents the Board externally","Planning of Board meetings Employment,incentiveremuneration and performance evaluation of Executive ManagementRepresents the Board externally","Planning of Board meetings Employment,incentiveremuneration and performance evaluation of Executive ManagementRepresents the Board externally","Handling complaints reportedthrough the Compliance Hotline- Financial, social and environmental",Nomination of Board members and Board committee members Annual evaluation of the Board,"The Remuneration PolicyThe actual remuneration of Boardmembers, Board committees and Executive Management","The Remuneration PolicyThe actual remuneration of Boardmembers, Board committees and Executive Management",The research and developmentstrategyThe pipeline- The R&D organisation,,,
Key responsibilities Assists the Board ofDirectors with:,"Planning of Board meetings Employment,incentiveremuneration and performance evaluation of Executive ManagementRepresents the Board externally","Planning of Board meetings Employment,incentiveremuneration and performance evaluation of Executive ManagementRepresents the Board externally","Planning of Board meetings Employment,incentiveremuneration and performance evaluation of Executive ManagementRepresents the Board externally",reporting (ESG reporting)Internal controls over financial and ESG reportingBusiness ethics compliance IT security and insurance coverage,Corporate governance of the company,"The Remuneration PolicyThe actual remuneration of Boardmembers, Board committees and Executive Management","The Remuneration PolicyThe actual remuneration of Boardmembers, Board committees and Executive Management",The research and developmentstrategyThe pipeline- The R&D organisation,,,
Members(appointed bythe Board)For independence and competencies see table on page 44.,"Consists of the chair and the vicechair, both of whomare electeddirectly by the shareholders at thegeneral meetings.At the Annual General Meeting in2020, Helge Lund was re-elected aschair and jeppe Christiansen was re- elected as vice chair of the Board.","Consists of the chair and the vicechair, both of whomare electeddirectly by the shareholders at thegeneral meetings.At the Annual General Meeting in2020, Helge Lund was re-elected aschair and jeppe Christiansen was re- elected as vice chair of the Board.","Consists of the chair and the vicechair, both of whomare electeddirectly by the shareholders at thegeneral meetings.At the Annual General Meeting in2020, Helge Lund was re-elected aschair and jeppe Christiansen was re- elected as vice chair of the Board.",Liz Hewitt (chair) Laurence DebrouxAndreas Fibig Sylvie Grégoire Stig Strobaek,Helge Lund (chair)- Sylvie GregoireKasim Kutay Mette Bαjer Jensen,Jeppe Christiansen (chair)Brian Daniels- Liz HewittAnne Marie Kverneland,Jeppe Christiansen (chair)Brian Daniels- Liz HewittAnne Marie Kverneland,Martin Mackay (chair)- Brian Daniels- Sylvie GregoireKasim Kutay - Thomas Rantzau,,,
2020 key activities,"In 2020, the Chairmanship focussed","In 2020, the Chairmanship focussed","In 2020, the Chairmanship focussed","In 2020,the Audit Committee focused","In 2020, the Nomination Committee","In 2020, the Remuneration","In 2020, the Remuneration","In 2020,the Research & Development",,,
2020 key activities,"particularly on strategy executionwithin the therapy areas and indifferentmarkets,digitalisation,partnering and acquisitions to","particularly on strategy executionwithin the therapy areas and indifferentmarkets,digitalisation,partnering and acquisitions to","particularly on strategy executionwithin the therapy areas and indifferentmarkets,digitalisation,partnering and acquisitions to",on work performed by internaland external auditors and heldfocus sessions on risks and internalcontrols. The Audit Committee also,"focused particularly on reviewing thecompositionof theBoard,identifyingand interviewing candidates and",Committee focused particularlyon executive remuneration in light,Committee focused particularlyon executive remuneration in light,Committee focused particularly onreviewing the results of clinical trialsand discussed potentialadditionalresearch and development activities,,,
2020 key activities,"particularly on strategy executionwithin the therapy areas and indifferentmarkets,digitalisation,partnering and acquisitions to","particularly on strategy executionwithin the therapy areas and indifferentmarkets,digitalisation,partnering and acquisitions to","particularly on strategy executionwithin the therapy areas and indifferentmarkets,digitalisation,partnering and acquisitions to",on work performed by internaland external auditors and heldfocus sessions on risks and internalcontrols. The Audit Committee also,"focused particularly on reviewing thecompositionof theBoard,identifyingand interviewing candidates and","of the COVID-19 pandemic, onassessing the design and structure","of the COVID-19 pandemic, onassessing the design and structure",Committee focused particularly onreviewing the results of clinical trialsand discussed potentialadditionalresearch and development activities,,,
2020 key activities,"particularly on strategy executionwithin the therapy areas and indifferentmarkets,digitalisation,partnering and acquisitions to","particularly on strategy executionwithin the therapy areas and indifferentmarkets,digitalisation,partnering and acquisitions to","particularly on strategy executionwithin the therapy areas and indifferentmarkets,digitalisation,partnering and acquisitions to",on work performed by internaland external auditors and heldfocus sessions on risks and internalcontrols. The Audit Committee also,considering long-term succession,"of the COVID-19 pandemic, onassessing the design and structure","of the COVID-19 pandemic, onassessing the design and structure",Committee focused particularly onreviewing the results of clinical trialsand discussed potentialadditionalresearch and development activities,,,
2020 key activities,"access externalinnovation,talentand leadership development as well","access externalinnovation,talentand leadership development as well","access externalinnovation,talentand leadership development as well","discussed key accounting matters,including provisions for sales rebates,indirect production costs, ongoing tax and legal cases and impairment.",planning. It also reviewed the desiredcompetences to be represented onthe Board.,of the short-term as well as the long-term incentive programme for theExecutive Management in 2021 andon enhancing the transparency in,of the short-term as well as the long-term incentive programme for theExecutive Management in 2021 andon enhancing the transparency in,"to further explore opportunitieswithin subcutaneous and oral GLP-1as well as competitor initiatives. Inaddition, the committee discussed the",,,
2020 key activities,"access externalinnovation,talentand leadership development as well","access externalinnovation,talentand leadership development as well","access externalinnovation,talentand leadership development as well","discussed key accounting matters,including provisions for sales rebates,indirect production costs, ongoing tax and legal cases and impairment.",planning. It also reviewed the desiredcompetences to be represented onthe Board.,of the short-term as well as the long-term incentive programme for theExecutive Management in 2021 andon enhancing the transparency in,of the short-term as well as the long-term incentive programme for theExecutive Management in 2021 andon enhancing the transparency in,"to further explore opportunitieswithin subcutaneous and oral GLP-1as well as competitor initiatives. Inaddition, the committee discussed the",,,
2020 key activities,"as succession preparedness, corecapabilities and development of the","as succession preparedness, corecapabilities and development of the","as succession preparedness, corecapabilities and development of the","discussed key accounting matters,including provisions for sales rebates,indirect production costs, ongoing tax and legal cases and impairment.",planning. It also reviewed the desiredcompetences to be represented onthe Board.,of the short-term as well as the long-term incentive programme for theExecutive Management in 2021 andon enhancing the transparency in,of the short-term as well as the long-term incentive programme for theExecutive Management in 2021 andon enhancing the transparency in,"to further explore opportunitieswithin subcutaneous and oral GLP-1as well as competitor initiatives. Inaddition, the committee discussed the",,,
2020 key activities,company culture and impact of theCOVID-19 pandemic.,company culture and impact of theCOVID-19 pandemic.,company culture and impact of theCOVID-19 pandemic.,"The Audit Committee also reviewedInformation Security, Business EthicsCompliance and Compliance Hotlinecases. Finally, the Audit Committeerecommended Deloitte to be electedas external auditor in 2021.",planning. It also reviewed the desiredcompetences to be represented onthe Board.,remuneration reporting even further.,remuneration reporting even further.,potential opportunities for addressingunmet needs in mild cognitiveimpairment and mild dementia. It alsoreviewed potential external researchcollaborations as well as acquisitions.,,,
2020 key activities,company culture and impact of theCOVID-19 pandemic.,company culture and impact of theCOVID-19 pandemic.,company culture and impact of theCOVID-19 pandemic.,"The Audit Committee also reviewedInformation Security, Business EthicsCompliance and Compliance Hotlinecases. Finally, the Audit Committeerecommended Deloitte to be electedas external auditor in 2021.",planning. It also reviewed the desiredcompetences to be represented onthe Board.,COVID-19 pandemic.,,,,,
