DKK million,2020,2019
Other financial assets¹,766,970
Derivative financial instruments (note 4.3),2332,188
Financial assets at fair value through the income statement,3098,1158
Other financial assets¹,300,364
Trade receivables,11643,12203
Other receivables and prepayments (current and non-current),4835,4275
– less prepayments and VAT receivables,-4113,-3899
Cash at bank (note 4.5),12757,15475
Financial assets at amortised cost,25422,28418
Trade receivables in a factoring portfolio²,16091,12709
Financial assets at fair value through OCI,16091,12709
Total financial assets at the end of the year by category¹,44611,42285
