Company and country,Percentage of shares owned,Activity
Parent company,"Novo Nordisk A/S, Denmark",
Subsidiaries by geographical area,North America Operations,
"Novo Nordisk Canada Inc., Canada",100,
"Novo Nordisk Inc., United States",100,
"Novo Nordisk North America Operations A/S, Denmark",100,
"Novo Nordisk Pharmaceutical Industries LP, United States",100,
"Novo Nordisk Pharma, Inc., United States",100,
"Novo Nordisk Research Center Indianapolis, Inc., United States",100,
"Novo Nordisk Research Center Seattle, Inc., United States",100,
"Novo Nordisk US Bio Production, Inc., United States",100,
"Novo Nordisk US Commercial Holdings, Inc., United States",100,
"Novo Nordisk US Holdings Inc., United States",100,
"Corvidia Therapeutics, Inc., United States",100,
"Emisphere Technologies, Inc., United States",100,
International Operations,,
"Novo Nordisk Pharmaceuticals A/S, Denmark",100,
"Novo Nordisk Pharma Operations A/S, Denmark",100,
"Novo Nordisk Region AAMEO and LATAM A/S, Denmark",100,
"Novo Nordisk Region Europe A/S, Denmark",100,
"Novo Nordisk Region Japan & Korea A/S, Denmark",100,
EMEA,,
"Aldaph SpA, Algeria",100,
"Novo Nordisk Pharma GmbH, Austria",100,
"S.A. Novo Nordisk Pharma N.V., Belgium",100,
"Novo Nordisk Pharma d.o.o., Bosnia and Herzegovina",100,
"Novo Nordisk Pharma EAD, Bulgaria",100,
"Novo Nordisk Hrvatska d.o.o., Croatia",100,
"Novo Nordisk s.r.o., Czech Republic",100,
"Novo Nordisk Denmark A/S, Denmark",100,
"Novo Nordisk Pharmatech A/S, Denmark",100,
"Novo Nordisk Egypt LLC, Egypt",100,
"Novo Nordisk Farma OY, Finland",100,
"Novo Nordisk, France",100,
