,,,,Total International Operations,Total International Operations,nal Oper,,,,,Total North America Operations,Total North America Operations,Total North America Operations,Total North America Operations,Total Novo Nordisknet sales,Total Novo Nordisknet sales,Total Novo Nordisknet sales,,
DKK million,,Total IO,,EMEA,EMEA,,China,,Rest of World,,Total NAO,Total NAO,Of which the US,Of which the US,Total Novo Nordisknet sales,Total Novo Nordisknet sales,Total Novo Nordisknet sales,,
DKK million,2020,2019 2018,2020,2019 2018,2019 2018,2020,2019 2018,2020,2019 2018,2020,2019 2018,2019 2018,2020,2019 2018,2020,2019,2018,,
Diabetes and Obesity care segment:,,,,,,,,,,,,,,,,,,,
Long-acting insulin,"9,959","9,035 7,942","6,451","5,955","5,289","1,471","1,059 814","2,037","2,0211,839","8,480","11,74112,902","11,74112,902","7,962","11,27112,600","18,439","20,776 20,844","20,776 20,844",,
- of which Tresiba@,"4,407","3,477 2,764","2,574","1,983","1,479",418,87 16,"1,415","1,4071,269","4,561","5,7825,271","5,7825,271","4,191","5,5005,192","8,968","9,259","8,035",,
- of which Xultophy@,"1,789","1,4931,085","1,605","1,407","1,060",1,,183,86 25,655,717 529,717 529,642,708 528,"2,444","2,210","1,614",,
- of which Levemir@,"3,763","4,065 4,093","2,272","2,5652,750","2,5652,750","1,052",972 798,439,528 545,"3,264","5,242 7,102","5,242 7,102","3,129","5,0636.880","7,027","9,307","11,195",,
Premix insulin,"10,246","9,707 8.862","2,959","3,160","3,034","4,852","4,306 3,783","2,435","2,2412,045",679,"871 1,332","871 1,332",652,"839 1,294","10,925","10,578","10,194",,
- of which Ryzodeg@,"1,291",993 714,321,237,152,39,4,931,752 562,,,,,,"1,291",993,714,,
- of which NovoMix/NovoLog Mix,"8,955","8,7148,148","2,638","2,923","2,882","4,813","4,302 3,783","1,504","1,4891,483",679,"871 1,332","871 1,332",652,"839 1,294","9,634","9,585","9,480",,
Fast-acting insulin,"10,808","10,3049,332","6,584","6,422","5,931","2,075","1,753 1,450","2,149","2,1291,951","7,505","8,99910,021","8,99910,021","7,101","8,592 9,634","18,313","19,303","19,353",,
- of which Fiasp@,832,617 357,764,585,357,,,68,32 1,553,626 233,626 233,519,597 211,"1,385","1,243",590,,
- of which NovoRapid/NovoLog,"9,976","9.687 8,975","5,820","5,837 5.574","5,837 5.574","2,075","1,753 1,450","2,081","2,0971,951","6,952","8,3739,788","8,3739,788","6,582","7,9959,423","16,928","18,060","18,763",,
Human insulin,"7,339","7,361 7,348","2,370","2,438 2,592","2,438 2,592","2,655","2,847 2,821","2,314","2,0761,935","1,534","1,6751,917","1,6751,917","1,431","1,552 1,778","8,873","9,036","9,265",,
Total insulin,"38,352","36,40733,484","18,364","17,975","16,846","11,053","9,965 8,868","8,935","8,4677,770","18,198","23,28626,172","23,28626,172","17,146","22,25425,306","56,550","59,693","59,656",,
Victoza@,"7,095","7,249 6,240","4,251","4,7134.337","4,7134.337","1,033",898 521,"1,811","1,6381382","11,652","14,68518,093","14,68518,093","11,292","14,21717,561","18,747","21,934","24,333",,
Ozempic@,"3,634","1,143 39","3,112",969,39,10,,512,174,"17,577","10,094","1,757","16,650","9,599 1,634","21,211","11,237","1,796",,
Rybelsus@,36,1 1,36,1,二,一,1,一,1 1,"1,837",50,二,"1,826",50 1,1.873,50,1,,
Total GLP-1,"10,765","8,3926,279","7,399","5,682","4,376","1,043",898 521,"2,323","1,8121,382","31,066","2482919,850","2482919,850","29,768","23,86619,195","41,831","33,221","26,129",,
Other Diabetes care,"2,946","3,3893,360",725,"1,052","1,064","1,546","1,647 1,672",675,690 624,1.085,858 890,858 890,943,705 733,4.031,4，247,"4,250",,
Total Diabetes care,"52,063","48,18843,123","26,488","24,70922,286","24,70922,286","13,642","12,51011,061","11,933","10,9699,776","50,349","48,97346.912","48,97346.912","47,857","46,82545,234","102,412","97,161","90,035",,
Obesity care (Saxendae),"2,118","2,0831,211","1,124",981,547,10,9 1,984,"1,093 663","3,490","3,5962,658","3,5962,658","3,230","3,3482.446","5,608","5,679","3,869",,
Diabetes and Obesitycare total,"54,181","50,27144,334","27,612","25,69022,833","25,69022,833","13,652","12,51911,062","12,917","12,06210,439","53,839","52,56949.570","52,56949.570","51,087","50,17347,680","108,020","102,840",93.904,,
Biopharm segment:,,,,,,,,,,,,,,,,,,,
Haemophilia,"5,708","5,9465,572","3,579","3,6463,604","3,6463,604",361,284 199,"1,768","2,0161,769","3,954","4,335 4,004","4,335 4,004","3,675","4,0313,723","9,662","10,281",9.576,,
- of which NovoSeven@,"3,996","4,502 4,424","2,352","2,5772,694","2,5772,694",345,269 194,"1,299","1,6561,536","3,207","3,6173,457","3,6173,457","3,089","3,4543,278","7,203","8,119","7,881",,
- of which NovoEight@,"1,127","1,1431,046",790,844 836,844 836,16,15 5,321,284 205,335,382 308,382 308,312,358 291,"1,462","1,525","1,354",,
Growth disorders (Norditropin@),"4,832","4,2254,000","2,220","1,9601,972","1,9601,972",66,36 20,"2,546","2,2292,008",2.872,"3,0502,834","3,0502,834",2.854,"3,0352,823","7,704","7,275",6.834,,
Other Biopharm,"1,108","1,1221,017",886,912 817,912 817,5,5 4,217,205 196,452,503 500,503 500,208,247 262,"1,560","1,625 1,517","1,625 1,517",,
Biopharm total,"11,648","11,29310,589",6.685,,,,,,,,,,,,,,,,
Biopharm total,"11,648","11,29310,589",6.685,,,,,,"4,450",7.278,"7,888","7,888",6.737,"7,313",,,,,
Biopharm total,"11,648","11,29310,589",6.685,,,,,,"4,450",7.278,"7,888","7,888",6.737,"7,313","18,926","19,181 17.927","19,181 17.927",,
Biopharm total,"11,648","11,29310,589",6.685,6.5186.393,6.5186.393,432,,4.531,"4,450",7.278,"7,888","7,888",6.737,"7,313","18,926","19,181 17.927","19,181 17.927",,
Total sales by geographical area,"65,829","61,56454,923","34,297","32,20829,226","32,20829,226","14,084","12,84411,285","17,448","16,51214,412","61,117","60,45756,908","60,45756,908","57,824","57,48654,488","126,946","122,021111,831","122,021111,831",,
Total sales growth as reported,6.9%,12.1% 2.3%,6.5%,10.2% 2.5%,10.2% 2.5%,9.7%,13.8% 5.4%,5.7%,14.6%(0.3%),1.1%,6.2%(1.9%),6.2%(1.9%),0.6%,5.5%(2.4%),4.0%,9.1% 0.1%,9.1% 0.1%,,
